commandment_number,commandment_concept,commandment_polarity,reference_id,scripture_english,scripture_hebrew,scripture_greek,scripture_parashah,sefer_hachinuch_number,mishneh_torah_book_number,mishneh_torah_book_name,mishneh_torah_category,p119f_category,,,,,,,,,,,,,
167,Do not let a eunuch marry into the Covenant people ,N,DEU 23:1,"""No one who is emasculated or has his male organ cut off shall enter the assembly of the LORD.","ב לֹא-יָבֹא פְצוּעַ-דַּכָּא וּכְרוּת שָׁפְכָה, בִּקְהַל יְהוָה. {ס}",(23:2) Οὐκ εἰσελεύσεται θλαδίας καὶ ἀποκεκομμένος εἰς ἐκκλησίαν κυρίου.  ,Ki Tetze,559,5,Holiness,Forbidden Sexual Relations,Marriage and Family,,,,,,,,,,,,,
168,Do not offer to G-d any castrated male animals ,N,LEV 22:24,"Also anything with its testicles bruised or crushed or torn or cut, you shall not offer to the LORD, or sacrifice in your land,","כד וּמָעוּךְ וְכָתוּת וְנָתוּק וְכָרוּת, לֹא תַקְרִיבוּ לַיהוָה; וּבְאַרְצְכֶם, לֹא תַעֲשׂוּ.","24 θλαδίαν καὶ ἐκτεθλιμμένον καὶ ἐκτομίαν καὶ ἀπεσπασμένον, οὐ προσάξεις αὐτὰ τῷ κυρίῳ καὶ ἐπὶ τῆς γῆς ὑμῶν οὐ ποιήσετε.  ",Emor,291,5,Holiness,Forbidden Sexual Relations,Sacrifices and Offerings,,,,,,,,,,,,,
169,The high priest must not marry a widow ,N,LEV 21:14,"'A widow, or a divorced woman, or one who is profaned by harlotry, these he may not take; but rather he is to marry a virgin of his own people,","יד אַלְמָנָה וּגְרוּשָׁה וַחֲלָלָה זֹנָה, אֶת-אֵלֶּה לֹא יִקָּח: כִּי אִם-בְּתוּלָה מֵעַמָּיו, יִקַּח אִשָּׁה.","14 χήραν δὲ καὶ ἐκβεβλημένην καὶ βεβηλωμένην καὶ πόρνην, ταύτας οὐ λήμψεται, ἀλλ᾿ ἢ παρθένον ἐκ τοῦ γένους αὐτοῦ λήμψεται γυναῖκα·  ",Emor,273,5,Holiness,Forbidden Sexual Relations,Levites & Priests,,,,,,,,,,,,,
170,The high priest must not have sexual relations with a widow even outside of marriage ,N,LEV 21:15,"so that he will not profane his offspring among his people; for I am the LORD who sanctifies him.'""","טו וְלֹא-יְחַלֵּל זַרְעוֹ, בְּעַמָּיו: כִּי אֲנִי יְהוָה, מְקַדְּשׁוֹ. {ס}",15 καὶ οὐ βεβηλώσει τὸ σπέρμα αὐτοῦ ἐν τῷ λαῷ αὐτοῦ· ἐγὼ κύριος ὁ ἁγιάζων αὐτόν.  ,Emor,274,5,Holiness,Forbidden Sexual Relations,Levites & Priests,,,,,,,,,,,,,
171,The high priest must marry a virgin maiden ,P,LEV 21:13,'He shall take a wife in her virginity.,"יג וְהוּא, אִשָּׁה בִבְתוּלֶיהָ יִקָּח.",13 οὗτος γυναῖκα παρθένον ἐκ τοῦ γένους αὐτοῦ λήμψεται·  ,Emor,272,5,Holiness,Forbidden Sexual Relations,Levites & Priests,,,,,,,,,,,,,
172,A priest must not marry a divorcee ,N,LEV 21:7,"'They shall not take a woman who is profaned by harlotry, nor shall they take a woman divorced from her husband; for he is holy to his God.","ז אִשָּׁה זֹנָה וַחֲלָלָה לֹא יִקָּחוּ, וְאִשָּׁה גְּרוּשָׁה מֵאִישָׁהּ לֹא יִקָּחוּ: כִּי-קָדֹשׁ הוּא, לֵאלֹהָיו.",7 γυναῖκα πόρνην καὶ βεβηλωμένην οὐ λήμψονται καὶ γυναῖκα ἐκβεβλημένην ἀπὸ ἀνδρὸς αὐτῆς· ἅγιός ἐστιν τῷ κυρίῳ θεῷ αὐτοῦ.  ,Emor,268,5,Holiness,Forbidden Sexual Relations,Levites & Priests,,,,,,,,,,,,,
173,A priest must not marry a woman who has had a forbidden sexual relationship,N,LEV 21:7,"'They shall not take a woman who is profaned by harlotry, nor shall they take a woman divorced from her husband; for he is holy to his God.",  אִשָּׁה זֹנָה וַחֲלָלָה לֹא יִקָּחוּ וְאִשָּׁה גְּרוּשָׁה מֵאִישָׁהּ לֹא יִקָּחוּ כִּי־קָדֹשׁ הוּא לֵאלֹהָיו׃ ‬,γυναῖκα πόρνην καὶ βεβηλωμένην οὐ λήμψονται καὶ γυναῖκα ἐκβεβλημένην ἀπὸ ἀνδρὸς αὐτῆς ἅγιός ἐστιν τῷ κυρίῳ θεῷ αὐτοῦ,Emor,266,5,Holiness,Forbidden Sexual Relations,Levites & Priests,,,,,,,,,,,,,
174,A priest must not marry a desecrated woman,N,LEV 21:7,"'They shall not take a woman who is profaned by harlotry, nor shall they take a woman divorced from her husband; for he is holy to his God.",  אִשָּׁה זֹנָה וַחֲלָלָה לֹא יִקָּחוּ וְאִשָּׁה גְּרוּשָׁה מֵאִישָׁהּ לֹא יִקָּחוּ כִּי־קָדֹשׁ הוּא לֵאלֹהָיו׃ ‬,γυναῖκα πόρνην καὶ βεβηλωμένην οὐ λήμψονται καὶ γυναῖκα ἐκβεβλημένην ἀπὸ ἀνδρὸς αὐτῆς ἅγιός ἐστιν τῷ κυρίῳ θεῷ αὐτοῦ,Emor,267,5,Holiness,Forbidden Sexual Relations,Levites & Priests,,,,,,,,,,,,,
175,Do not make pleasurable (sexual) contact with any forbidden woman ,N,LEV 18:6,'None of you shall approach any blood relative of his to uncover nakedness; I am the LORD.,  אִישׁ אִישׁ אֶל־כָּל־שְׁאֵר בְּשָׂרוֹ לֹא תִקְרְבוּ לְגַלּוֹת עֶרְוָה אֲנִי יְהוָה׃ ס ‬,ἄνθρωπος ἄνθρωπος πρὸς πάντα οἰκεῖα σαρκὸς αὐτοῦ οὐ προσελεύσεται ἀποκαλύψαι ἀσχημοσύνην ἐγὼ κύριος,Acharei Mot,188,5,Holiness,Forbidden Sexual Relations,Forbidden Sexual Relationships,,,,,,,,,,,,,
176,Examine the signs of animals to distinguish between those which are kosher and non-kosher,P,LEV 11:2,"""Speak to the sons of Israel, saying, 'These are the creatures which you may eat from all the animals that are on the earth.","ב דַּבְּרוּ אֶל-בְּנֵי יִשְׂרָאֵל, לֵאמֹר: זֹאת הַחַיָּה אֲשֶׁר תֹּאכְלוּ, מִכָּל-הַבְּהֵמָה אֲשֶׁר עַל-הָאָרֶץ.","2 Λαλήσατε τοῖς υἱοῖς Ισραηλ λέγοντες Ταῦτα τὰ κτήνη, ἃ φάγεσθε ἀπὸ πάντων τῶν κτηνῶν τῶν ἐπὶ τῆς γῆς·  ",Shemini,153,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
177,Examine the signs of fowl to distinguish between those which are kosher and non-kosher,P,DEU 14:11,"""You may eat any clean bird.","יא כָּל-צִפּוֹר טְהֹרָה, תֹּאכֵלוּ.",11 πᾶν ὄρνεον καθαρὸν φάγεσθε.  ,Re'eh,470,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
178,Examine the signs of fish to distinguish between those which are kosher and non-kosher,P,LEV 11:9,"'These you may eat, whatever is in the water: all that have fins and scales, those in the water, in the seas or in the rivers, you may eat.","ט אֶת-זֶה, תֹּאכְלוּ, מִכֹּל, אֲשֶׁר בַּמָּיִם: כֹּל אֲשֶׁר-לוֹ סְנַפִּיר וְקַשְׂקֶשֶׂת בַּמַּיִם, בַּיַּמִּים וּבַנְּחָלִים--אֹתָם תֹּאכֵלוּ.","9 Καὶ ταῦτα, ἃ φάγεσθε ἀπὸ πάντων τῶν ἐν τοῖς ὕδασιν· πάντα, ὅσα ἐστὶν αὐτοῖς πτερύγια καὶ λεπίδες ἐν τοῖς ὕδασιν καὶ ἐν ταῖς θαλάσσαις καὶ ἐν τοῖς χειμάρροις, ταῦτα φάγεσθε.  ",Shemini,155,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
179,Examine the signs of insects to distinguish between those which are kosher and non-kosher,P,LEV 11:21,Yet these you may eat among all the winged insects which walk on all fours: those which have above their feet jointed legs with which to jump on the earth.,"כא אַךְ אֶת-זֶה, תֹּאכְלוּ, מִכֹּל שֶׁרֶץ הָעוֹף, הַהֹלֵךְ עַל-אַרְבַּע: אֲשֶׁר-לא (לוֹ) כְרָעַיִם מִמַּעַל לְרַגְלָיו, לְנַתֵּר בָּהֵן עַל-הָאָרֶץ.","21 ἀλλὰ ταῦτα φάγεσθε ἀπὸ τῶν ἑρπετῶν τῶν πετεινῶν, ἃ πορεύεται ἐπὶ τέσσαρα· ἃ ἔχει σκέλη ἀνώτερον τῶν ποδῶν αὐτοῦ πηδᾶν ἐν αὐτοῖς ἐπὶ τῆς γῆς.  ",Shemini,158,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
180,Do not eat non-kosher animals ,N,LEV 11:4,"'Nevertheless, you are not to eat of these, among those which chew the cud, or among those which divide the hoof: the camel, for though it chews cud, it does not divide the hoof, it is unclean to you.","ד אַךְ אֶת-זֶה, לֹא תֹאכְלוּ, מִמַּעֲלֵי הַגֵּרָה, וּמִמַּפְרִסֵי הַפַּרְסָה: אֶת-הַגָּמָל כִּי-מַעֲלֵה גֵרָה הוּא, וּפַרְסָה אֵינֶנּוּ מַפְרִיס--טָמֵא הוּא, לָכֶם.","4 πλὴν ἀπὸ τούτων οὐ φάγεσθε· ἀπὸ τῶν ἀναγόντων μηρυκισμὸν καὶ ἀπὸ τῶν διχηλούντων τὰς ὁπλὰς καὶ ὀνυχιζόντων ὀνυχιστῆρας· τὸν κάμηλον, ὅτι ἀνάγει μηρυκισμὸν τοῦτο, ὁπλὴν δὲ οὐ διχηλεῖ, ἀκάθαρτον τοῦτο ὑμῖν·  ",Shemini,154,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
181,Do not eat non-kosher fowl ,N,LEV 11:13,"'These, moreover, you shall detest among the birds; they are abhorrent, not to be eaten: the eagle and the vulture and the buzzard,","יג וְאֶת-אֵלֶּה תְּשַׁקְּצוּ מִן-הָעוֹף, לֹא יֵאָכְלוּ שֶׁקֶץ הֵם: אֶת-הַנֶּשֶׁר, וְאֶת-הַפֶּרֶס, וְאֵת, הָעָזְנִיָּה.","13 Καὶ ταῦτα βδελύξεσθε ἀπὸ τῶν πετεινῶν, καὶ οὐ βρωθήσεται, βδέλυγμά ἐστιν· τὸν ἀετὸν καὶ τὸν γρύπα καὶ τὸν ἁλιαίετον  ",Shemini,157,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
182,Do not eat non-kosher fish ,N,LEV 11:11,"and they shall be abhorrent to you; you may not eat of their flesh, and their carcasses you shall detest.","יא וְשֶׁקֶץ, יִהְיוּ לָכֶם; מִבְּשָׂרָם לֹא תֹאכֵלוּ, וְאֶת-נִבְלָתָם תְּשַׁקֵּצוּ.","11 καὶ βδελύγματα ἔσονται ὑμῖν, ἀπὸ τῶν κρεῶν αὐτῶν οὐκ ἔδεσθε καὶ τὰ θνησιμαῖα αὐτῶν βδελύξεσθε·  ",Shemini,156,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
183,Do not eat non-kosher flying insects ,N,DEU 14:19,"""And all the teeming life with wings are unclean to you; they shall not be eaten.","יט וְכֹל שֶׁרֶץ הָעוֹף, טָמֵא הוּא לָכֶם: לֹא, יֵאָכֵלוּ.","19 πάντα τὰ ἑρπετὰ τῶν πετεινῶν ἀκάθαρτα ταῦτά ἐστιν ὑμῖν, οὐ φάγεσθε ἀπ᾿ αὐτῶν.  ",Re'eh,471,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
184,Do not eat non-kosher creatures that crawl on land ,N,LEV 11:41,"'Now every swarming thing that swarms on the earth is detestable, not to be eaten.","מא וְכָל-הַשֶּׁרֶץ, הַשֹּׁרֵץ עַל-הָאָרֶץ--שֶׁקֶץ הוּא, לֹא יֵאָכֵל.","41 Καὶ πᾶν ἑρπετόν, ὃ ἕρπει ἐπὶ τῆς γῆς, βδέλυγμα τοῦτο ἔσται ὑμῖν, οὐ βρωθήσεται.  ",Shemini,162,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
185,Do not eat non-kosher vermin ,N,LEV 11:44,"'For I am the LORD your God. Consecrate yourselves therefore, and be holy, for I am holy. And you shall not make yourselves unclean with any of the swarming things that swarm on the earth.","מד כִּי אֲנִי יְהוָה, אֱלֹהֵיכֶם, וְהִתְקַדִּשְׁתֶּם וִהְיִיתֶם קְדֹשִׁים, כִּי קָדוֹשׁ אָנִי; וְלֹא תְטַמְּאוּ אֶת-נַפְשֹׁתֵיכֶם, בְּכָל-הַשֶּׁרֶץ הָרֹמֵשׂ עַל-הָאָרֶץ.","44 ὅτι ἐγώ εἰμι κύριος ὁ θεὸς ὑμῶν, καὶ ἁγιασθήσεσθε καὶ ἅγιοι ἔσεσθε, ὅτι ἅγιός εἰμι ἐγὼ κύριος ὁ θεὸς ὑμῶν, καὶ οὐ μιανεῖτε τὰς ψυχὰς ὑμῶν ἐν πᾶσιν τοῖς ἑρπετοῖς τοῖς κινουμένοις ἐπὶ τῆς γῆς·  ",Shemini,165,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
186,Do not eat worms found in fruit on the ground ,N,LEV 11:42,"Whatever crawls on its belly, and whatever walks on all fours, whatever has many feet, in respect to every swarming thing that swarms on the earth, you shall not eat them, for they are detestable.","מב כֹּל הוֹלֵךְ עַל-גָּחוֹן וְכֹל הוֹלֵךְ עַל-אַרְבַּע, עַד כָּל-מַרְבֵּה רַגְלַיִם, לְכָל-הַשֶּׁרֶץ, הַשֹּׁרֵץ עַל-הָאָרֶץ--לֹא תֹאכְלוּם, כִּי-שֶׁקֶץ הֵם.","42 καὶ πᾶς ὁ πορευόμενος ἐπὶ κοιλίας καὶ πᾶς ὁ πορευόμενος ἐπὶ τέσσαρα διὰ παντός, ὃ πολυπληθεῖ ποσὶν ἐν πᾶσιν τοῖς ἑρπετοῖς τοῖς ἕρπουσιν ἐπὶ τῆς γῆς, οὐ φάγεσθε αὐτό, ὅτι βδέλυγμα ὑμῖν ἐστιν.  ",Shemini,163,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
187,Do not eat creatures that live in water other than kosher fish ,N,LEV 11:43,'Do not render yourselves detestable through any of the swarming things that swarm; and you shall not make yourselves unclean with them so that you become unclean.,"מג אַל-תְּשַׁקְּצוּ, אֶת-נַפְשֹׁתֵיכֶם, בְּכָל-הַשֶּׁרֶץ, הַשֹּׁרֵץ; וְלֹא תִטַּמְּאוּ בָּהֶם, וְנִטְמֵתֶם בָּם.",43 καὶ οὐ μὴ βδελύξητε τὰς ψυχὰς ὑμῶν ἐν πᾶσι τοῖς ἑρπετοῖς τοῖς ἕρπουσιν ἐπὶ τῆς γῆς καὶ οὐ μιανθήσεσθε ἐν τούτοις καὶ οὐκ ἀκάθαρτοι ἔσεσθε ἐν αὐτοῖς·  ,Shemini,164,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
188,Do not eat of an animal that dies of natural causes,N,DEU 14:21,"""You shall not eat anything which dies of itself. You may give it to the alien who is in your town, so that he may eat it, or you may sell it to a foreigner, for you are a holy people to the LORD your God. You shall not boil a young goat in its mother's milk.","כא לֹא תֹאכְלוּ כָל-נְבֵלָה לַגֵּר אֲשֶׁר-בִּשְׁעָרֶיךָ תִּתְּנֶנָּה וַאֲכָלָהּ, אוֹ מָכֹר לְנָכְרִי--כִּי עַם קָדוֹשׁ אַתָּה, לַיהוָה אֱלֹהֶיךָ; לֹא-תְבַשֵּׁל גְּדִי, בַּחֲלֵב אִמּוֹ. {פ}","21 πᾶν θνησιμαῖον οὐ φάγεσθε· τῷ παροίκῳ τῷ ἐν ταῖς πόλεσίν σου δοθήσεται, καὶ φάγεται, ἢ ἀποδώσῃ τῷ ἀλλοτρίῳ· ὅτι λαὸς ἅγιος εἶ κυρίῳ τῷ θεῷ σου. --οὐχ ἑψήσεις ἄρνα ἐν γάλακτι μητρὸς αὐτοῦ.  ",Re'eh,472,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
189,Do not benefit from an ox condemned to be stoned ,N,EXO 21:28,"""If an ox gores a man or a woman to death, the ox shall surely be stoned and its flesh shall not be eaten; but the owner of the ox shall go unpunished.",  וְכִי־יִגַּח שׁוֹר אֶת־אִישׁ אוֹ אֶת־אִשָּׁה וָמֵת סָקוֹל יִסָּקֵל הַשּׁוֹר וְלֹא יֵאָכֵל אֶת־בְּשָׂרוֹ וּבַעַל הַשּׁוֹר נָקִי׃ ‬,ἐὰν δὲ κερατίσῃ ταῦρος ἄνδρα ἢ γυναῖκα καὶ ἀποθάνῃ λίθοις λιθοβοληθήσεται ὁ ταῦρος καὶ οὐ βρωθήσεται τὰ κρέα αὐτοῦ ὁ δὲ κύριος τοῦ ταύρου ἀθῷος ἔσται,Mishpatim,52,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
190,Do not eat meat of an animal that was mortally wounded ,N,EXO 22:31,"""You shall be holy men to Me, therefore you shall not eat any flesh torn to pieces in the field; you shall throw it to the dogs.","ל וְאַנְשֵׁי-קֹדֶשׁ, תִּהְיוּן לִי; וּבָשָׂר בַּשָּׂדֶה טְרֵפָה לֹא תֹאכֵלוּ, לַכֶּלֶב תַּשְׁלִכוּן אֹתוֹ. {ס}","31 (22:30) καὶ ἄνδρες ἅγιοι ἔσεσθέ μοι. καὶ κρέας θηριάλωτον οὐκ ἔδεσθε, τῷ κυνὶ ἀπορρίψατε αὐτό.  ",Mishpatim,73,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
191,Do not eat meat torn off a living creature,N,DEU 12:23,"""Only be sure not to eat the blood, for the blood is the life, and you shall not eat the life with the flesh.","כג רַק חֲזַק, לְבִלְתִּי אֲכֹל הַדָּם, כִּי הַדָּם, הוּא הַנָּפֶשׁ; וְלֹא-תֹאכַל הַנֶּפֶשׁ, עִם-הַבָּשָׂר.","23 πρόσεχε ἰσχυρῶς τοῦ μὴ φαγεῖν αἷμα, ὅτι τὸ αἷμα αὐτοῦ ψυχή· οὐ βρωθήσεται ἡ ψυχὴ μετὰ τῶν κρεῶν,  ",Re'eh,452,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
192,Do not eat blood ,N,LEV 3:17,"'It is a perpetual statute throughout your generations in all your dwellings: you shall not eat any fat or any blood.'""","יז חֻקַּת עוֹלָם לְדֹרֹתֵיכֶם, בְּכֹל מוֹשְׁבֹתֵיכֶם--כָּל-חֵלֶב וְכָל-דָּם, לֹא תֹאכֵלוּ. {פ}",17 νόμιμον εἰς τὸν αἰῶνα εἰς τὰς γενεὰς ὑμῶν ἐν πάσῃ κατοικίᾳ ὑμῶν· πᾶν στέαρ καὶ πᾶν αἷμα οὐκ ἔδεσθε.  ,Vayikra,148,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
193,Do not eat certain fats of clean animals,N,LEV 3:17,"'It is a perpetual statute throughout your generations in all your dwellings: you shall not eat any fat or any blood.'""",  חֻקַּת עוֹלָם לְדֹרֹתֵיכֶם בְּכֹל מוֹשְׁבֹתֵיכֶם כָּל־חֵלֶב וְכָל־דָּם לֹא תֹאכֵלוּ׃ פ ‬,νόμιμον εἰς τὸν αἰῶνα εἰς τὰς γενεὰς ὑμῶν ἐν πάσῃ κατοικίᾳ ὑμῶν πᾶν στέαρ καὶ πᾶν αἷμα οὐκ ἔδεσθε,Vayikra,147,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
194,Do not eat the sinew of the thigh ,N,GEN 32:32,"Therefore, to this day the sons of Israel do not eat the sinew of the hip which is on the socket of the thigh, because he touched the socket of Jacob's thigh in the sinew of the hip.","לג  עַל-כֵּן לֹא-יֹאכְלוּ בְנֵי-יִשְׂרָאֵל אֶת-גִּיד הַנָּשֶׁה, אֲשֶׁר עַל-כַּף הַיָּרֵךְ, עַד, הַיּוֹם הַזֶּה:  כִּי נָגַע בְּכַף-יֶרֶךְ יַעֲקֹב, בְּגִיד הַנָּשֶׁה.","(32:33) ἕνεκεν τούτου οὐ μὴ φάγωσιν οἱ υἱοὶ Ισραηλ τὸ νεῦρον, ὃ ἐνάρκησεν, ὅ ἐστιν ἐπὶ τοῦ πλάτους τοῦ μηροῦ, ἕως τῆς ἡμέρας ταύτης, ὅτι ἥψατο τοῦ πλάτους τοῦ μηροῦ Ιακωβ τοῦ νεύρου καὶ ἐνάρκησεν.  ",Vayishlach,3,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
195,Do not eat meat and milk cooked together ,N,EXO 23:19,"""You shall bring the choice first fruits of your soil into the house of the LORD your God. ""You are not to boil a young goat in the milk of its mother.","יט רֵאשִׁית, בִּכּוּרֵי אַדְמָתְךָ, תָּבִיא, בֵּית יְהוָה אֱלֹהֶיךָ; לֹא-תְבַשֵּׁל גְּדִי, בַּחֲלֵב אִמּוֹ. {פ}",19 τὰς ἀπαρχὰς τῶν πρωτογενημάτων τῆς γῆς σου εἰσοίσεις εἰς τὸν οἶκον κυρίου τοῦ θεοῦ σου. οὐχ ἑψήσεις ἄρνα ἐν γάλακτι μητρὸς αὐτοῦ.  ,Mishpatim,92,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
196,Do not cook meat and milk together ,N,EXO 34:26,"""You shall bring the very first of the first fruits of your soil into the house of the LORD your God. ""You shall not boil a young goat in its mother's milk.""","כו רֵאשִׁית, בִּכּוּרֵי אַדְמָתְךָ, תָּבִיא, בֵּית יְהוָה אֱלֹהֶיךָ; לֹא-תְבַשֵּׁל גְּדִי, בַּחֲלֵב אִמּוֹ. {פ}",26 τὰ πρωτογενήματα τῆς γῆς σου θήσεις εἰς τὸν οἶκον κυρίου τοῦ θεοῦ σου. οὐ προσοίσεις ἄρνα ἐν γάλακτι μητρὸς αὐτοῦ.  ,Ki Tisa,113,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
197,Do not eat bread from new grain before the Omer ,N,LEV 23:14,"'Until this same day, until you have brought in the offering of your God, you shall eat neither bread nor roasted grain nor new growth. It is to be a perpetual statute throughout your generations in all your dwelling places.","יד וְלֶחֶם וְקָלִי וְכַרְמֶל לֹא תֹאכְלוּ, עַד-עֶצֶם הַיּוֹם הַזֶּה--עַד הֲבִיאֲכֶם, אֶת-קָרְבַּן אֱלֹהֵיכֶם: חֻקַּת עוֹלָם לְדֹרֹתֵיכֶם, בְּכֹל מֹשְׁבֹתֵיכֶם. {ס}","14 καὶ ἄρτον καὶ πεφρυγμένα χίδρα νέα οὐ φάγεσθε ἕως εἰς αὐτὴν τὴν ἡμέραν ταύτην, ἕως ἂν προσενέγκητε ὑμεῖς τὰ δῶρα τῷ θεῷ ὑμῶν· νόμιμον αἰώνιον εἰς τὰς γενεὰς ὑμῶν ἐν πάσῃ κατοικίᾳ ὑμῶν.  ",Emor,303,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
198,Do not eat parched grains from new grain before the Omer ,N,LEV 23:14,"'Until this same day, until you have brought in the offering of your God, you shall eat neither bread nor roasted grain nor new growth. It is to be a perpetual statute throughout your generations in all your dwelling places.",  וְלֶחֶם וְקָלִי וְכַרְמֶל לֹא תֹאכְלוּ עַד־עֶצֶם הַיּוֹם הַזֶּה עַד הֲבִיאֲכֶם אֶת־קָרְבַּן אֱלֹהֵיכֶם חֻקַּת עוֹלָם לְדֹרֹתֵיכֶם בְּכֹל מֹשְׁבֹתֵיכֶם׃ ס ‬,καὶ ἄρτον καὶ πεφρυγμένα χίδρα νέα οὐ φάγεσθε ἕως εἰς αὐτὴν τὴν ἡμέραν ταύτην ἕως ἂν προσενέγκητε ὑμεῖς τὰ δῶρα τῷ θεῷ ὑμῶν νόμιμον αἰώνιον εἰς τὰς γενεὰς ὑμῶν ἐν πάσῃ κατοικίᾳ ὑμῶν,Emor,304,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
199,Do not eat ripened grains from new grain before the Omer ,N,LEV 23:14,"'Until this same day, until you have brought in the offering of your God, you shall eat neither bread nor roasted grain nor new growth. It is to be a perpetual statute throughout your generations in all your dwelling places.",  וְלֶחֶם וְקָלִי וְכַרְמֶל לֹא תֹאכְלוּ עַד־עֶצֶם הַיּוֹם הַזֶּה עַד הֲבִיאֲכֶם אֶת־קָרְבַּן אֱלֹהֵיכֶם חֻקַּת עוֹלָם לְדֹרֹתֵיכֶם בְּכֹל מֹשְׁבֹתֵיכֶם׃ ס ‬,καὶ ἄρτον καὶ πεφρυγμένα χίδρα νέα οὐ φάγεσθε ἕως εἰς αὐτὴν τὴν ἡμέραν ταύτην ἕως ἂν προσενέγκητε ὑμεῖς τὰ δῶρα τῷ θεῷ ὑμῶν νόμιμον αἰώνιον εἰς τὰς γενεὰς ὑμῶν ἐν πάσῃ κατοικίᾳ ὑμῶν,Emor,305,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
200,Do not eat fruit of a tree during its first three years ,N,LEV 19:23,"When you enter the land and plant all kinds of trees for food, then you shall count their fruit as forbidden. Three years it shall be forbidden to you; it shall not be eaten.","כג וְכִי-תָבֹאוּ אֶל-הָאָרֶץ, וּנְטַעְתֶּם כָּל-עֵץ מַאֲכָל--וַעֲרַלְתֶּם עָרְלָתוֹ, אֶת-פִּרְיוֹ; שָׁלֹשׁ שָׁנִים, יִהְיֶה לָכֶם עֲרֵלִים--לֹא יֵאָכֵל.","23 Ὅταν δὲ εἰσέλθητε εἰς τὴν γῆν, ἣν κύριος ὁ θεὸς ὑμῶν δίδωσιν ὑμῖν, καὶ καταφυτεύσετε πᾶν ξύλον βρώσιμον καὶ περικαθαριεῖτε τὴν ἀκαθαρσίαν αὐτοῦ· ὁ καρπὸς αὐτοῦ τρία ἔτη ἔσται ὑμῖν ἀπερικάθαρτος, οὐ βρωθήσεται·  ",Kedoshim,246,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
201,Do not eat diverse seeds planted in a vineyard ,N,DEU 22:9,"""You shall not sow your vineyard with two kinds of seed, or all the produce of the seed which you have sown and the increase of the vineyard will become defiled.","ט לֹא-תִזְרַע כַּרְמְךָ, כִּלְאָיִם: פֶּן-תִּקְדַּשׁ, הַמְלֵאָה הַזֶּרַע אֲשֶׁר תִּזְרָע, וּתְבוּאַת, הַכָּרֶם. {ס}","9 Οὐ κατασπερεῖς τὸν ἀμπελῶνά σου διάφορον, ἵνα μὴ ἁγιασθῇ τὸ γένημα καὶ τὸ σπέρμα, ὃ ἐὰν σπείρῃς μετὰ τοῦ γενήματος τοῦ ἀμπελῶνός σου. --  ",Ki Tetze,549,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
202,Do not eat untithed fruits ,N,LEV 22:14,"But if a man eats a holy gift unintentionally, then he shall add to it a fifth of it and shall give the holy gift to the priest.","יד וְאִישׁ, כִּי-יֹאכַל קֹדֶשׁ בִּשְׁגָגָה--וְיָסַף חֲמִשִׁיתוֹ עָלָיו, וְנָתַן לַכֹּהֵן אֶת-הַקֹּדֶשׁ.","14 καὶ ἄνθρωπος, ὃς ἂν φάγῃ ἅγια κατὰ ἄγνοιαν, καὶ προσθήσει τὸ ἐπίπεμπτον αὐτοῦ ἐπ᾿ αὐτὸ καὶ δώσει τῷ ἱερεῖ τὸ ἅγιον.  ",Emor,284,5,Holiness,Forbidden Foods,Food,,,,,,,,,,,,,
