Name,Meaning
Hakkatan,little
Hakkoz,a thorn; summer; an end
Hakupha,a commandment of the mouth
Halah,a moist table
Halak,part
Halhul,grief; looking for grief
Hali,sickness; a beginning; a precious stone
Hallelujah,praise the Lord
Halloesh,saying nothing; an enchanter
Ham,hot; heat; brown
Haman,noise; tumult
Hamath,anger; heat; a wall
Hamath-zobah,"the heat, or the wall, of an army"
Hammedatha,he that troubles the law
Hammelech,a king; a counselor
Hammon,heat; the sun
Hamonah,his multitude; his uproar
Hamon-gog,the multitude of Gog
Hamor,an ass; clay; dirt
Hamoth,indignation
Hamul,godly; merciful
Hamutal,the shadow of his heat
Hanameel,the grace that comes from God; gift of God
Hanan,full of grace
Hananeel,"grace, or gift, of God"
Hanani,my grace; my mercy
Hananiah,grace; mercy; gift of the Lord
Hanes,banishment of grace
Haniel,the gift of God
Hannah,gracious; merciful; he that gives
Hannathon,the gift of grace
Hanniel,grace or mercy of God
Hanoch,dedicated
Hanun,gracious; merciful
Hapharaim,searching; digging
Hara,a hill; showing forth
Haradah,well of great fear
Haran,mountainous country
Harran,see Charran
Harbonah,his destruction; his sword
Hareph,winter; reproach
Harhas,anger; heat of confidence
Harhaiah,"heat, or anger, of the Lord"
Harhur,made warm
Harim,destroyed; dedicated to God
Harnepher,the anger of a bull; increasing heat
Harod,astonishment; fear
Harosheth,a forest; agriculture; workmanship; deafness; silence
Harsha,workmanship; a wood
Harum,high; throwing down
Harumaph,destruction
Haruphite,slender; sharp
Haruz,careful
Hasadiah,the mercy of the Lord
Hashabiah,the estimation of the Lord
Hashabnah,"Hashabniah, the silence of the Lord"
Hashem,named; a putting to
Hashub,esteemed; numbered
Hashubah,estimation; thought
Hashum,silence; their hasting
Hashupha,spent; made base
Hasrah,wanting
Hatach,he that strikes
Hathath,fear
Hatita,a bending of sin
Hattil,howling for sin
Hattipha,robbery
Hattush,forsaking sin
Hauran,a hole; liberty; whiteness
Havilah,that suffers pain; that brings forth
Havoth-jair,the villages that enlighten
Hazael,that sees God
Hazaiah,seeing the Lord
Hazar-addar,an imprisoned generation
Hazarenan,imprisoned cloud
Hazargaddah,imprisoned band
Hazar-hatticon,middle village; preparation
Hazarmaveth,dwelling of death
Hazar-shual,a wolf's house
Hazar-susah,"or susim, the hay-paunch of a horse"
Hazelelponi,sorrow of countenance
Hazeroth,villages; palaces
Hazezon-tamar,drawing near to bitterness
Hazo,seeing; prophesying
Hazor,court; hay
Heber,one that passes; anger
Hebrews,descendants of Heber
Hebron,society; friendship
Hegai,"or Hege, meditation; word; groaning; separation"
Helam,their army; their trouble
Helbah,"Helbon, milk, fatness"
Heldai,"Heleb, Heled, the world; rustiness"
Helek,part; portion
Helem,dreaming; healing
Heleph,changing; passing over
Helez,armed; set free
Heli,ascending; climbing up
Helkai,same as Helek
Helkath-hazzurim,"the field of strong men, or of rocks"
Helon,window; grief
Heman,their trouble; tumult; much; in great number
Hen,grace; quiet; rest
Hena,troubling
Henadad,grace of the beloved
Henoch,same as Enoch
Hepher,a digger
Hephzibah,my delight is in her
Heres,the son; an earthen pot
Heresh,a carpenter
Hermas,"Hermes, Mercury; gain; refuge"
Hermogenes,begotten of Mercury
Hermon,anathema; devoted to destruction
Herod,son of a hero
Herodion,the song of Juno
Heshbon,invention; industry
Heshmon,a hasty messenger
Heth,trembling; fear
Hethlon,a fearful dwelling
Hezekiah,strength of the Lord
Hezer,"Hezir, a bog; converted"
Hezrai,an entry or vestibule
Hezron,the dart of joy; the division of the song
Hiddai,a praise; a cry
Hiddekel,sharp voice; sound
Hiel,God lives; the life of God
Hierapolis,holy city
Higgaion,meditation; consideration
Hilen,a window; grief
Hilkiah,God is my portion
Hillel,he that praises
Hinnom,there they are; their riches
Hirah,liberty; anger
Hiram,exaltation of life; a destroyer
Hittite,one who is broken; who fears
Hivites,wicked; wickedness
Hizkijah,the strength of the Lord
Hobab,favored; beloved
Hobah,love; friendship; secrecy
Hod,praise; confession
Hodaiah,the praise of the Lord
Hodaviah,"Hodiah, Hodijah, same as Hodaiah"
Hodesh,a table; news
Hoglah,his festival or dance
Hoham,woe to them
Holon,a window; grief
Homam,making an uproar
Hophin,he that covers; my fist
Hor,"who conceives, or shows; a hill"
Horam,their hill
Horeb,desert; solitude; destruction
Horem,an offering dedicated to God
Hor-hagidgad,the hill of felicity
Hori,a prince; freeborn
Horims,princes; being angry
Hormah,devoted or consecrated to God; utter destruction
Horonaim,angers; ragings
Horonites,"men of anger, or of fury, or of liberty"
Hosah,trusting
Hosanna,save I pray thee; keep; preserve
Hosea,"Hoshea, savior; safety"
Hoshaiah,the salvation of the Lord
Hoshama,heard; he obeys
Hotham,a seal
Hothir,excelling; remaining
Hukkok,engraver; scribe; lawyer
Hul,pain; infirmity
Huldah,the world
Hupham,their chamber; their bank
Huppim,a chamber covered; the sea-shore
Hur,liberty; whiteness; hole
Huram,their liberty; their whiteness; their hole
Huri,being angry; or same as Huram
Hushah,hasting; holding peace
Hushai,their haste; their sensuality; their silence
Hushathite,"Hushim, man of haste, or of silence"
Huz,counsel; woods; fastened
Huzoth,streets; populous
Huzzab,molten
Hymeneus,nuptial; the god of marriage
Ibhar,election; he that is chosen
Ibleam,ancient people; people decreasing
Ibneiah,"Ibniah, the building of the Lord; the understanding of the Lord; son by adoption"
Ibri,passing over; being angry; being with young
Ibzan,father of a target; father of coldness
Ichabod,"where is the glory? or, no glory"
Iconium,coming
Idalah,"the hand of slander, or of cursing"
Idbash,flowing with honey; the land of destruction
Iddo,his band; power; praise
Idumea,red; earthy; bloody
Igal,redeemed; defiled
Igeal,a redeemer; redeemed; defiled
Igdaliah,the greatness of the Lord
Iim,"heaps of Hebrews, or of angry men"
Ije-abarim,"heaps of Hebrews, or of passers over"
Ijon,look; eye; fountain
Ikkesh,forward; wicked
Illyricum,joy; rejoicing
Imlah,plentitude; circumcision
Immanuel,God with us
Immer,saying; speaking; a lamb
Imnah,same as Jimnah
Imrah,a rebel; waxing bitter; changing
Imri,speaking; exalting; bitter; a lamb
India,praise; law
Iphedeiah,redemption of the Lord
Ir,watchman; city; vision
Ira,watchman; making bare; pouring out
Irad,wild ass; heap of empire; dragon
Iram,the effusion of them; a high heap
Iri,fire; light
Irijah,the fear of the Lord
Irpeel,"the health, medicine, or exulting of God"
Irshemesh,a city of bondage
Isaac,laughter
Isaiah,the salvation of the Lord
Iscah,he that anoints
Iscariot,a man of murder; a hireling
Ishbak,who is empty or exhausted
Ishbi-benob,respiration; conversion; taking captive
Ishbosheth,a man of shame
Ishi,salvation
Ishiah,it is the Lord
Ishma,named; marveling; desolation
Ishmael,God that hears
Ishmaiah,hearing or obeying the Lord
Ishmerai,"keeper, or keeping"
Ishod,a comely man
Ish-pan,hid; broken in two
Ish-tob,good man
Ishua,plainness; equal
Ishmachiah,cleaving to the Lord
Ispah,a jasper stone
Israel,who prevails with God
Issachar,reward; recompense
Isui,same as Ishuah
Ithai,strong; my sign; a plowshare
Italy,abounding with calves or heifers
Ithamar,island of the palm-tree
Ithiel,"sign, or coming of God"
Ithmah,an orphan
Ithran,remaining; searching out diligently
Ithream,excellence of the people
Ittah-kazin,"hour, or time, of a prince"
Iturea,guarded; mountainous
Ivah,iniquity
Izehar,"Izhar, clearness; oil"
Izrahiah,the Lord ariseth; the clearness of the Lord
Izri,fasting; tribulation
Jaakan,tribulation; labor
Jaakobah,supplanter; deceiver; the heel
Jaala,ascending; a little doe or goat
Jaalam,hidden; young man; heir
Jaanai,answering; afflicting; making poor
Jaasau,doing; my doing
Jaasiel,God's work
Jaazaniah,whom the Lord will hear
Jaazah,"Jaazar, helper"
Jaaziah,"Jaaziel, the strength of the Lord"
Jabal,which glides away
Jabbok,evacuation; dissipation; wrestling
Jabesh,dryness; confusion; shame
Jabez,sorrow; trouble
Jabin,"Jabneh, he that understands; building"
Jabneel,building of God
Jachan,wearing out; oppressing
Jachin,he that strengthens and makes steadfast
Jacob,"that supplants, undermines; the heel"
Jada,knowing
Jadau,his hand; his confession
Jaddua,known
Jael,he that ascends; a kid
Jagur,husbandman; stranger
Jah,the everlasting
Jahaleel,praising God; light of God
Jahath,broken in pieces; descending
Jahaz,"Jahazah, quarrel; dispute"
Jahaziah,the vision of the Lord
Jahaziel,seeing God
Jahdiel,"the unity, or sharpness, or revenge, of God"
Jahdo,I alone; his joy; his sharpness of wit; his newness
Jahleel,"waiting for, or beseeching, or hope in, God"
Jahmai,warm; making warm
Jahzeel,"God hasteth, or divideth"
Jair,"Jairus, my light; who diffuses light"
Jakan,same as Achan
Jakim,rising; confirming; establishing
Jalon,tarrying; murmuring
Jambres,poverty; bitter; a rebel
James,same as Jacob
Jamin,right hand; south wind
Jamlech,reigning; asking counsel
Janna,"Jannes, who speaks or answers; afflicted; poor"
Janoah,"Janohah, resting; tarrying; deriving"
Janum,sleeping
Japhet,enlarged; fair; persuading
Japhia,enlightening; appearing
Japhlet,"Japhleti, delivered; banished"
Japho,fairness; comeliness
Jarah,a wood; honeycomb; watching closely
Jareb,a revenger
Jared,a ruling; commanding; coming down
Jaresiah,the bed of the Lord; the Lord hath taken away; poverty
Jarib,fighting; chiding; multiplying; avenging
Jarmuth,"fearing, or seeing, or throwing down, death"
Jarvah,"breathing, or making, a sweet smell"
Jashem,"Jashen, ancient; sleeping"
Jasher,righteous; upright
Jashobeam,the people sitting; or captivity of the people
Jashub,a returning; a controversy; a dwelling place
Jasiel,the strength of God
Jason,he that cures
Jathniel,gift of God
Jattir,a remnant; excellent
Javan,deceiver; one who makes sad
Jazeel,strength of God
Jazer,assistance; helper
Jaziz,brightness; departing
Jearim,a leap; woods
Jeaterai,searching out
Jeberechiah,"speaking well of, or kneeling to, the Lord"
Jebus,treading under foot; manger
Jebusi,trodden under foot; mangers
Jecamiah,"resurrection, or confirmation, or revenge, of the Lord"
Jecoliah,"perfection, or power, of the Lord"
Jeconiah,"preparation, or stability, of the Lord"
Jedaiah,the hand of the Lord; confessing the Lord
Jedeiah,one Lord; the joy of the Lord
Jediael,"the science, or knowledge, of God"
Jedidah,well beloved; amiable
Jedidiah,beloved of the Lord
Jediel,"the knowledge, or renewing, of God"
Jeduthun,his law; giving praise
Jeezer,island of help
Jegar-sahadutha,heap of witness
Jehaleleel,"Jehalelel, praising God; clearness of God"
Jehaziel,same as Jahaziel
Jehdeiah,"joy together, one Lord"
Jeheiel,God liveth
Jehezekel,strength of God
Jehiah,the Lord liveth
Jehiskiah,"the strength, or taking, of the Lord"
Jehoadah,passing over; testimony of the Lord
Jehoaddan,"pleasure, or time, of the Lord"
Jehoahaz,possession of the Lord
Jehoash,fire of the Lord
Jehohanan,"grace, or mercy, or gift, of the Lord"
Jehoiachin,"preparation, or strength, of the Lord"
Jehoiada,knowledge of the Lord
Jehoiakim,"avenging, or establishing, or resurrection, of the Lord"
Jehoiarib,"fighting, or multiplying, of the Lord"
Jehonadab,"Jonadab, free giver; liberality"
Jehonathan,gift of the Lord; gift of a dove
Jehoram,exaltation of the Lord
Jehoshaphat,the Lord is judge
Jehosheba,"fullness, or oath, of the Lord"
Jehoshua,same as Joshua
Jehovah,self-subsisting
Jehovah-jireh,the Lord will provide
Jehovah-nissi,the Lord my banner
Jehovah-shalom,the Lord send peace
Jehovah-shammah,the Lord is there
Jehovah-tsidkenu,the Lord our righteousness
Jehozabad,the Lord's dowry; having a dowry
Jehozadak,justice of the Lord
Jehu,himself who exists
Jehubbah,"hiding, binding"
Jehucal,mighty; perfect; wasted
Jehud,"Jehudi, praising; conferring"
Jehudijah,the praise of the Lord
Jehush,keeping counsel; fastened
Jekabzeel,the congregation of God
Jekamean,the people shall arise
Jekamiah,"establishing, or revenging, of the Lord"
Jekuthiel,"hope, or congregation, of the Lord"
Jemima,handsome as the day
Jemuel,God's day; son of God
Jephunneh,he that beholds
Jerah,the moon; month; smelling sweet
Jerahmeel,"the mercy, or the beloved, of God"
Jered,ruling; coming down
Jeremai,my height; throwing forth waters
Jeremiah,exaltation of the Lord
Jeremoth,eminences; one that fears death
Jeriah,"fear, or throwing down, of the Lord"
Jerebai,fighting; chiding; multiplying
Jericho,his moon; his month; his sweet smell
Jeriel,"fear, or vision of God"
Jerijah,same as Jeriah
Jerimoth,he that fears or rejects death
Jerioth,kettles; breaking asunder
Jeroboam,he that opposes the people
Jeroham,high; merciful; beloved
Jerubbaal,"he that defends Baal, let Baal defend his cause"
Jerubbesheth,let the idol of confusion defend itself
Jeruel,"fear, or vision of God"
Jerusalem,vision of peace
Jerusha,banished; possession; inheritance
Jesaiah,"health, or salvation, of the Lord"
Jeshebeab,"sitting, or captivity, of the father"
Jesher,right; singing
Jeshimon,solitude; desolation
Jeshishai,ancient; rejoicing exceedingly
Jeshohaia,the Lord pressing; the meditation of God
Jeshua,same as Joshua
Jesiah,sprinkling of the Lord
Jesimiel,"naming, or astonishment, of God"
Jesse,gift; oblation; one who is
Jesui,even-tempered; flat country
Jesus,savior; deliverer
Jether,he that excels
Jetheth,giving
Jethlah,hanging up; heaping up
Jethro,his excellence; his posterity
Jetur,order; succession; mountainous
Jeuel,God hath taken away; God heaping up
Jeush,"Jeuz, he that is devoured"
Jew,same as Judah
Jezaniah,"nourishment, or weapons, of the Lord"
Jezebel,chaste
Jezer,island of help
Jeziah,"Jeziel, sprinkling of the Lord"
Jezoar,clear; white
Jezrahiah,the Lord arises; brightness of the Lord
Jezneel,seed of God
Jibsam,"their drought, their confusion"
Jidlaph,he that distills water
Jimnah,right hand; numbering; preparing
Jiphtah,opening
Jiphthael,God opening
Joab,paternity; voluntary
Joah,fraternity; brother of the Lord
Joahaz,apprehending; possessing; seeing
Joakim,rising or establishing of the Lord
Joanna,grace or gift of the Lord
Joash,who despairs or burns
Joatham,same as Jotham
Job,he that weeps or cries
Jobab,"sorrowful, hated"
Jochebed,glorious; honorable
Joed,witnessing; robbing; passing over
Joel,he that wills or commands
Joelah,lifting up; profiting; taking away slander
Joezer,he that aids
Jogbehah,an exalting; high
Jogli,passing over; turning back; rejoicing
Joha,who enlivens or gives life
Johanan,who is liberal or merciful
John,the grace or mercy of the Lord
Joiarib,"chiding, or multiplying, of the Lord"
Jokdeam,"crookedness, or burning, of the people"
Jokim,that made the sun stand still
Jokmeam,"confirmation, or revenge, of the people"
Jokneam,"possessing, or building up, of the people"
Jokshan,an offense; hardness; a knocking
Joktan,small dispute; contention; disgust
Jonadab,who gives liberally
Jonah,"or Jonas, a dove; he that oppresses; destroyer"
Jonan,a dove; multiplying of the people
Jonathan,given of God
Joppa,beauty; comeliness
Jorah,"Jorai, showing; casting forth; a cauldron"
Joram,to cast; elevated
Jordan,the river of judgment
Jorim,he that exalts the Lord
Josabad,having a dowry
Josaphat,same as Jehoshaphat
Jose,raised; who pardons
Joseph,increase; addition
Joses,same as Jose
Joshah,being; forgetting; owing
Joshaviah,"the seat, alteration, or captivity of the Lord"
Joshbekesha,it is requiring or beseeching
Joshua,a savior; a deliverer
Josiah,the Lord burns; the fire of the Lord
Josibiah,"the seat, or captivity of the Lord"
Josiphiah,increase of the Lord; the Lord's finishing
Jotham,the perfection of the Lord
Jothath,"Jothatha, his goodness"
Jozabad,same as Josabad
Jozachar,remembering; of the male sex
Jubal,he that runs; a trumpet
Jucal,mighty; perfect
Judah,the praise of the Lord; confession
Judas,"Jude, same as Judah"
Judaea,"Judea, same as Judah"
Judith,same as Judah
Julia,downy; soft and tender hair
Julius,same as Julia
Junia,youth
Jupiter,the father that helpeth
Jushabhesed,dwelling-place; change of mercy
Justus,just or upright
Juttah,turning away
Kabzeel,the congregation of God
Kadesh,holiness
Kadesh-barnea,holiness of an inconstant son
Kadmiel,God of antiquity; God of rising
Kadmonites,ancients; chiefs
Kallai,light; resting by fire; my voice
Kanah,of reeds
Kareah,bald; ice
Karkaa,floor; dissolving coldness
Karkor,they rested
Karnaim,horns
Kartah,calling; meeting
Kedar,blackness; sorrow
Kedemah,oriental; ancient; first
Kedemoth,antiquity; old age
Kehelahath,a whole; a congregation
Keiiah,she that divides or cuts
Kelaiah,voice of the Lord; gathering together
Kelitah,same as Kelaiah
Kemuel,"God hath raised up, or established him"
Kenah,buying; possession
Kenan,buyer; owner
Kenaz,this purchase; this lamentation
Kenites,possession; purchase; lamentation
Kenizzites,possession; purchase
Keren-happuch,the horn or child of beauty
Kerioth,the cities; the callings
Keros,crooked; crookedness
Keturah,that makes the incense to fume
Kezia,superficies; the angle; cassia
Keziz,end; extremity
Kibroth-hattaavah,the graves of lust
Kibzaim,congregation
Kidron,obscure; making black or sad
Kinah,same as Kenah
Kir,a city; wall; meeting
Kirharaseth,"Kirharesh, city of the sun; wall of burnt brick"
Kirioth,same as Kerioth
Kirjath,city; vocation; meeting
Kirjathaim,the two cities; callings; or meetings
Kirjath-arba,city of four; fourth city
Kirjath-arim,city of those who watch
Kirjath-baal,"city of Baal, or of a ruler"
Kirjath-huzoth,city of streets; populous city
Kirjath-jearim,city of woods
Kirjath-sannah,"city of enmity, or of a blackberry bush"
Kirjath-sepher,"city of letters, or of the book"
Kish,hard; difficult; straw; for age
Kishi,hardness; his gravity; his offense
Kishion,hardness; soreness
Kishon,hard; sore
Kithlish,it is a wall; the company of a lioness
Kitron,making sweet; binding together
Kittim,breaking; bruising small; gold; coloring
Koa,hope; a congregation; a line; a rule
Kohath,congregation; wrinkle; bluntness
Kolariah,voice of the Lord
Korah,baldness; ice; frost
Kushaiah,same as Kishi
Laadah,to assemble together; to testify; passing over
Laadan,for pleasure; devouring; judgment
Laban,white; shining; gentle; brittle
Labana,the moon; whiteness; frankincense
Lachish,"who walks, or exists, of himself"
Lael,to God; to the mighty
Lahad,praising; to confess
Lahairoi,who liveth and seeth me
Lahmam,their bread; their war
Lahmi,my bread; my war
Laish,a lion
Lamech,poor; made low
Laodicea,just people
Lapidoth,enlightened; lamps
Lasea,thick; wise
Lashah,to call; to anoint
Lazarus,assistance of God
Leah,weary; tired
Lebanon,"white, incense"
Lebaoth,lividness
Lebbeus,a man of heart; praising; confessing
Lebonah,same as Labana
Lehabim,flames; inflamed; swords
Lehi,jawbone
Lekah,walking; going
Lemuel,"God with them, or him"
Leshem,a name; putting; a precious stone
Letushim,hammermen; filemen
Leummim,countries; without water
Levi,associated with him
Libnah,white; whiteness
Libni,same as Libnah
Libya,the heart of the sea; fat
Linus,net
Lo-ammi,not my people
Lod,nativity; generation
Lois,better
Lo-ruhamah,not having obtained mercy; not pitied
Lot,"Lotan, wrapt up; hidden; covered; myrrh; rosin"
Lubin,heart of a man; heart of the sea
Lucas,"Lucius, luminous; white"
Lucifer,bringing light
Lud,"Ludim, same as Lod"
Luhith,made of boards
Luke,luminous; white
Luz,separation; departure; an almond
Lycaonia,she-wolf
Lydda,"Lydia, a standing pool"
Lysanias,that drives away sorrow
Lysias,dissolving
Lysimachus,scattering the battle
Lystra,that dissolves or disperses
Maachah,pressed down; worn; fastened
Maachathi,broken
Maadai,pleasant; testifying
Maadiah,pleasantness; the testimony of the Lord
Maai,belly; heaping up
Maale-akrabbim,ascent of scorpions
Maarath,den; making empty; watching
Maaseiah,the work of the Lord
Maasiai,"the defense, or strength, or trust of the Lord"
Maath,wiping away; breaking; fearing; smiting
Maaz,wood; wooden
Macedonia,burning; adoration
Machbenah,"Machbanai, poverty; the smiting of his son"
Machi,poor; a smiter
Machir,selling; knowing
Machnadebai,smiter
Machpelah,double
Madai,a measure; judging; a garment
Madian,judgment; striving; covering; chiding
Madmannah,measure of a gift; preparation of a garment
Madon,a chiding; a garment; his measure
Magbish,excelling; height
Magdala,tower; greatness
Magdalene,a person from Magdala
Magdiel,declaring God; chosen fruit of God
Magog,covering; roof; dissolving
Magor-missabib,fear on every side
Magpiash,a body thrust hard together
Mahalah,"Mahalath, sickness; a company of dancers; a harp"
Mahaleleel,praising God
Mahali,infirmity; a harp; pardon
Mahanaim,tents; two fields; two armies
Mahanehdan,tents of judgment
Mahanem,a comforter
Maharai,hasting; a hill; from a hill
Mahath,same as Maath
Mahavites,declaring a message; marrow
Mahaz,an end; ending; growing hope
Mahazioth,seeing a sign; seeing a letter
Maher-shalal-hash-baz,making speed to the spoil; he hastens to the prey
Mahlah,"Mahli, Mahlon, same as Mahali"
Makas,same as Mahaz
Makheloth,assemblies; congregations
Makkedah,worshiping; burning; raised; crookedness
Malachi,my messenger; my angel
Malcham,"Malchom, their king; their counselor"
Malchiah,"Malchijah, the Lord my king, or my counselor"
Malchiel,"God is my king, or counselor"
Malchus,"my king, kingdom, or counselor"
Maleleel,same as Mahaleleel
Mallothi,fullness; circumcision
Malluch,reigning; counseling
Mammon,riches
Mamre,rebellious; bitter; set with trees
Manaen,a comforter; a leader
Manahethites,my lady; my prince of rest
Manasseh,forgetfulness; he that is forgotten
Manoah,rest; a present
Maon,house; place of sin
Mara,"Marah, bitter; bitterness"
Maralah,sleep; a sacrifice of myrrh; ascension
Maranatha,the Lord is coming
Marcus,polite; shining
Mareshah,from the beginning; an inheritance
Mark,same as Marcus
Maroth,bitterness
Marsena,bitterness of a bramble
Martha,who becomes bitter; provoking
Mary,same as Miriam
Mash,same as Meshech
Mashal,a parable; governing
Masrekah,whistling; hissing
Massa,a burden; prophecy
Massah,temptation
Matred,wand of government
Matri,rain; prison
Mattan,"Mattana, Mattenai, gifts; rains"
Mattaniah,"gift, or hope, of the Lord"
Mattatha,his gift
Mattathias,the gift of the Lord
Matthan,same as Mattan
Matthanias,same as Mattaniah
Matthal,gift; he that gives
Matthew,given; a reward
Matthias,"Mattithiah, same as Mattathias"
Mazzaroth,the twelve signs of the zodiac
Meah,a hundred cubits
Mearah,den; cave; making empty
Mebunnai,son; building; understanding
Mecherath,selling; knowledge
Medad,he that measures; water of love
Medan,judgment; process
Medeba,waters of grief; waters springing up
Media,measure; habit; covering
Megiddo,his precious fruit; declaring a message
Megiddon,same as Megiddo
Mehetabel,how good is God
Mehida,a riddle; sharpness of wit
Mehir,a reward
Mehujael,who proclaims God
Mehuman,making an uproar; a multitude
Mejarkon,the waters of Jordan
Mekonah,a foot of a pillar; provision
Melatiah,deliverance of the Lord
Melchi,my king; my counsel
Melchiah,God is my king
Melchi-shua,king of health; magnificent king
Melchizedek,king of justice
Melea,supplying; supplied
Melech,king; counselor
Melita,affording honey
Mellicu,his kingdom; his counselor
Melzar,"circumcision of a narrow place, or of a bond"
Memphis,abode of the good
Memucan,impoverished; to prepare; certain; true
Menahem,comforter; who conducts them; preparation of heat
Menan,numbered; rewarded; prepared
Mene,who reckons or is counted
Meonenim,"charmers, regarders of times"
Mephaath,"appearance, or force, of waters"
Mephibosheth,out of my mouth proceeds reproach
Merab,he that fights or disputes
Meraioth,bitterness; rebellious; changing
Merari,bitter; to provoke
Mercurius,an orator; an interpreter
Mered,"rebellious, ruling"
Meremoth,bitterness; myrrh of death
Meres,defluxion; imposthume
Meribah,dispute; quarrel
Meribbaal,he that resists Baal; rebellion
Merodach,bitter contrition
Merodach-baladan,"bitter contrition, without judgment"
Merom,eminences; elevations
Meronothite,my singing; rejoicing; bearing rule
Meroz,"secret, leanness"
Mesha,burden; salvation
Meshach,that draws with force
Meshech,who is drawn by force
Meshelemiah,"peace, or perfection, of the Lord"
Meshezaheel,God taking away; the salvation of God
Meshillamith,peaceable; perfect; giving again
Meshullam,peaceable; perfect; their parables
Mesobaite,the Lord's standing-place; a little doe
Mesopotamia,between two rivers
Messiah,anointed
Metheg-ammah,bridle of bondage
Methusael,who demands his death
Methusaleh,he has sent his death
Meunim,dwelling-places; afflicted
Mezahab,gilded
Miamin,the right hand
Mibhar,chosen; youth
Mibsam,smelling sweet
Mibzar,defending; forbidding; taking away
Micah,poor; humble
Micaiah,who is like to God?
Micha,same as Micaiah
Michaiah,"Michael, same as Micah"
Michal,who is perfect?
Michmach,he that strikes
Michmethah,the gift or death of a striker
Michri,selling
Michtam,golden psalm
Middin,judgment; striving
Midian,judgment; covering; habit
Migdalel,tower of God
Migdalgad,tower compassed about
Migdol,a tower
Migron,fear; farm; throat
Mijamin,right hand
Mikloth,little wants; little voices; looking downward
Minneiah,possession of the Lord
Milalai,circumcision; my talk
Milcah,queen
Milcom,their king
Miletum,red; scarlet
Millo,fullness
Miniamin,right hand
Minni,reckoned; prepared
Minnith,same as Minni
Miriam,rebellion
Mishael,who is asked for or lent
Mishal,parables; governing
Misham,their savior; taking away
Misheal,requiring; lent; pit
Mishma,hearing; obeying
Mishmannah,fatness; taking away provision
Mishraites,spread abroad
Mispar,"Mispereth, numbering; showing; increase of tribute"
Misrephoth-maim,hot waters
Mithcah,sweetness; pleasantness
Mithnite,loin; gift; hope
Mithredath,breaking the law
Mitylene,purity; cleansing; press
Mizar,little
Mizpah,"Mizpeh, a watch-tower; speculation"
Mizraim,tribulations
Mizzah,defluxion from the head
Mnason,a diligent seeker; an exhorter
Moab,of his father
Moladah,birth; generation
Molech,"Moloch, king"
Molid,nativity; generation
Mordecai,contrition; bitter; bruising
Moreh,stretching
Moriah,bitterness of the Lord
Moserah,"Moseroth, erudition; discipline"
Moses,taken out; drawn forth
Mozah,unleavened
Muppim,out of the mouth; covering
Mushi,"he that touches, that withdraws or takes away"
Myra,I flow; pour out; weep
Mysia,criminal; abominable
Naam,fair; pleasant
Naamah,"Naaman, beautiful; agreeable"
Naarah,"Naarai, young person"
Naashon,that foretells; that conjectures
Nabal,fool; senseless
Naboth,words; prophecies
Nachon,ready; sure
Nachor,same as Nahor
Nadab,free and voluntary gift; prince
Nagge,clearness; brightness; light
Nahaliel,inheritance; valley of God
Nahallal,praised; bright
Naham,"Nahamani, comforter; leader"
Naharai,my nostrils; hot; anger
Nahash,snake; serpent
Nahath,rest; a leader
Nahbi,very secret
Nahor,hoarse; dry; hot
Nahshon,same as Naashon
Nahum,comforter; penitent
Nain,beauty; pleasantness
Naioth,beauties; habitations
Naomi,beautiful; agreeable
Naphish,"the soul; he that rests, refreshes himself, or respires"
Naphtali,that struggles or fights
Narcissus,astonishment; stupidity
Nason,helper; entry-way
Nathan,given; giving; rewarded
Nathanael,the gift of God
Nathan-melech,"the gift of the king, or of counsel"
Naum,same as Nahum
Nazareth,separated; crowned; sanctified
Nazarite,one chosen or set apart
Neah,moved; moving
Neapolis,the new city
Neariah,child of the Lord
Nebai,budding; speaking; prophesying
Nebaioth,words; prophecies; buds
Neballat,prophecy; budding
Nebat,that beholds
Nebo,that speaks or prophesies
Nebuchadnezzar,"Nebuchadrezzar, tears and groans of judgment"
Nebushasi_hahban,speech; prophecy; springing; flowing
Nebuzar-adan,fruits or prophecies of judgment
Necho,lame; beaten
Nedabiah,prince or vow of the Lord
Neginoth,stringed instruments
Nehelamite,dreamer; vale; brook
Nehemiah,consolation; repentance of the Lord
Nehum,comforter; penitent
Nehushta,made of brass
Nehushtan,a trifling thing of brass
Neiel,"commotion, or moving, of God"
Nekoda,painted; inconstant
Nemuel,the sleeping of God
Nepheg,weak; slacked
Nephish,same as Naphish
Nephishesim,diminished; torn in pieces
Nephthalim,same as Naphtali
Nephthoah,opening; open
Nephusim,same as Nephishesim
Ner,a lamp; new-tilled land
Nereus,same as Ner
Nergal,the great man; the hero
Nergal-sharezer,treasurer of Nergal
Neri,my light
Neriah,light; lamp of the Lord
Nethaneel,same as Nathanael
Nethaniah,the gift of the Lord
Nethinims,given or offered
Neziah,conqueror; strong
Nezib,standing-place
Nibhaz,budding; prophesying
Nibshan,prophecy; growing of a tooth
Nicanor,a conqueror; victorious
Nicodemus,victory of the people
Nicolas,same as Nicodemus
Nicolaitanes,followers of Nicolas
Nicopolis,the city of victory
Niger,black
Nimrah,"Nimrim, leopard; bitterness; rebellion"
Nimrod,rebellion (but probably an unknown Assyrian word)
Nimshi,rescued from danger
Nineveh,handsome; agreeable
Nisan,standard; miracle
Nisroch,flight; proof; temptation; delicate
No,stirring up; forbidding
