section,subject,entry
G,GEBAL,"-1. A city south of Sidon
     -Given to Reuben JOS 13:5
     -People of, work for Solomon 1KI 5:18
     -Shipbuilders in EZK 27:9
-2. A district near the Dead Sea PSA 83:7"
G,GEBER,"-Name of two men, officers of Solomon 1KI 4:13,19"
G,GEBIM,-A city of Benjamin ISA 10:31
G,GEDALIAH,"-1. Governor appointed by Nebucbadnezzar after carrying the Jews into captivity 2KI 25:22-24
     -Jeremiah committed to the care of JER 39:14; 40:5,6
     -Warned of the conspiracy of Ishmael by Johanan, and the captains of his army JER 40:13-16
     -Killed by Ishmael 2KI 25:25,26; JER 41:1-10
-2. A musician 1CH 25:3,9
-3. A priest, who divorced his Gentile wife after the exile EZR 10:18
-4. Ancestor of Zephaniah ZEP 1:1
-5. A prince who caused imprisonment of Jeremiah JER 38:1"
G,GEDEON,-See GIDEON
G,GEDER,"-An ancient city of Canaan JOS 12:13
-Possibly identical with [1765]GEDOR, number two or number three"
G,GEDERAH,"-A city in the plain of Judah JOS 15:3,6"
G,GEDEROTH,-A city in the plain of the tribe of Judah JOS 15:41; 2CH 28:18
G,GEDEROTHAIM,-A city in the plain of the tribe of Judah JOS 15:36
G,GEDOR,"-1. A city in the mountains of the tribe of Judah JOS 15:58
-2. The town of Jeroham 1CH 12:7
     -Possibly identical with [1766]GEDER (which see)
-3. Valley of, taken by Simeonites 1CH 4:39
     -See GEDER
-4. An ancestor of Saul 1CH 8:31; 9:37
-5. Either a place or a person (authorities disagree) 1CH 4:4,18"
G,GEHAZI,"-Servant of Elisha 2KI 4:12,29,31
-Covetousness of, and the judgment of leprosy upon 2KI 5:20-27
-Mentions to King Jehoram the miracles of Elisha, his master 2KI 8:4,5"
G,GEHENNA,-See HELL
G,GELILOTH,"-A place mentioned, as marking the boundary of the tribe of Benjamin JOS 18:17
-Gilgal is substituted JOS 15:7"
G,GEMALLI,-Father of Ammiel NUM 13:12
G,GEMARIAH,"-1. Son of Shaphan JER 36:10-12,25
-2. An ambassador of Zedekiah to Nebuchadnezzar JER 29:3"
G,GENEALOGY,"-General scriptures concerning NUM 1:18; 2CH 12:15; NEH 7:5
-Of no spiritual significance MAT 3:9; 1TI 1:4; TIT 3:9
-From Adam to Noah GEN 4:16-22; 5; 1CH 1:1-4; LUK 3:36-38
-To Abraham GEN 11:10-32; 1CH 1:4-27; LUK 3:34-38
-To Jesus MAT 1:1-16; LUK 3:23-38
-Of the descendants of Noah GEN 10
-Of Nahor GEN 22:20-24
-Of Abraham, by his wife Keturah GEN 25:1-4; 1CH 1:32,33
-Of Ishmael GEN 25:12-16; 1CH 1:28-31
-Of Esau GEN 36; 1CH 1:35-54
-Of Jacob GEN 35:23-26; EXO 1:5; 6:14-27; NUM 26; 1CH 2:9
-Of Pharez to David RUT 4:18-22
-Of the Jews who returned from the captivity EZR 7:1-5; 8:1-15; NEH 7; 11:12
-Of Joseph MAT 1; LUK 3:23-38"
G,"GENERALS, DISTINGUISHED","-See ABRAHAM
-See JOSHUA
-See SAUL
-See DAVID
-See JOAB
-See AMASA
-See GIDEON
-See BENAIAH
-See NAAMAN
-See JEPHTHAH
-See BEN-HADAD
-See SENNACHERIB
-See CAPTAINS"
G,GENEROSITY,-See LIBERALITY
G,GENIUS,"-Mechanical, a divine inspiration EXO 28:3; 31:2-11; 35:30-35; 36:1"
G,GENNESARET,-See GALILEE
G,GENTILES,"-UNCLASSIFIED SCIPTURES RELATING TO JER 10:2,3; MAT 6:7,8,31,32; ACT 14:16; 17:4,16,17,22-27; ROM 1:18-32; 2:1-15; 1CO 10:20; 12:2; GAL 2:15; EPH 2:12; 4:17-19; 5:12; 1TH 4:4; 1PE 4:3,4
     -See IDOLATRY
     -See MISSIONS
-PROPHECIES OF THE CONVERSION OF GEN 12:3,5; 22:18; 49:10; DEU 32:21; PSA 2:8; 22:27-31; 46:4,10; 65:2,5; 66:4; 68:31,32; 72:1-20; 86:9; 102:15,18-22; 145:10,11; ISA 2:2-5; 9:1-7; 11:1-10; 18:7; 24:16; 35:1-10; 40:4-11; 42:1-12; 45:6,8,22-24; 49:1,5,6,18-23; 54:1-3; 55:5; 56:3,6-8; 60:1,3-5,8-14; 65:1; 66:7-23; JER 3:17; 4:2; 16:19-21; EZK 47:3-5; DAN 2:35,44,45; 7:13,14; HOS 2:23; JOL 2:28-32; AMO 9:11,12; MIC 4:3,4; HAG 2:7; ZEC 2:10,11; 6:15; 8:1-23; 9:1,9-17; 14:8-21; MAL 1:11; MAT 3:9; 8:11; 12:17-21; 19:30; MRK 10:31; LUK 13:29,30; 21:24; JHN 10:16; ACT 9:15
     -See CHURCH, PROPHECIES CONCERNING PROSPERITY OF
-CONVERSION OF ACT 10:45; 11:1-18; 13:2,46-48; 14:27; 15:7-9,12-31; 18:4-6; 26:16-18; 28:28; ROM 1:5-7; 9:22-30; 10:19,20; 11:11-13,17-21; 15:9-12; GAL 1:15,16; 2:2; 3:14; EPH 3:1-8; COL 3:11; 1TH 2:16; 1TI 3:16; 2TI 1:11; REV 11:15; 15:4
     -See MISSIONS
     -See CHURCH, PROPHECIES CONCERNING PROSPERITY OF
     -See JESUS, KINGDOM OF, PROPHECIES CONCERNING"
G,GENTLENESS,"-OF CHRIST ISA 40:11; 2CO 10:1; MAT 11:29
     -See JESUS, COMPASSION OF
     -See JESUS, HUMILITY OF
     -See JESUS, MEEKNESS OF
-OF GOD 2SA 22:36; PSA 18:35; ISA 40:11
     -See GOD, COMPASSION OF
     -See GOD, LONG-SUFFERING OF
     -Of Paul 1TH 2:7
-EXHORTATIONS TO GAL 5:22; 2TI 2:24-26; TIT 3:1,2; JAS 3:17
     -See HUMILITY
     -See KINDNESS
     -See MEEKNESS
     -See PATIENCE"
G,GENUBATH,-Son of Hadad 1KI 11:20
G,GEOLOGY,"-General scriptures concerning GEN 1:9,10; 1SA 2:8; 2SA 22:16; JOB 12:8,9; 28:9-11; PSA 18:15; 24:1,2; 104:5-13; 136:6; PRO 30:4; JER 31:37; HAB 3:9; 2PE 3:5-7
-See CREATION
-See EARTH
-See METEOROLOGY
-See ASTRONOMY
-See also [1803]HOT SPRINGS"
G,GERA,"-Possibly the name of three men; more probably of one
-The son of Bela GEN 46:21; JDG 3:15; 2SA 16:5; 19:16,18; 1KI 2:8; 1CH 8:3,5,7"
G,GERAH,"-A weight equal to thirteen and seven-tenths grains, Paris
-Also a coin equivalent to about three cents American money and three half-pence English money EXO 30:13; LEV 27:25; NUM 3:47"
G,GERAR,"-1. A city of the Philistines GEN 10:19
     -Abimelech, king of GEN 20:1; 26:6
     -Visited by Abraham GEN 20:1
     -Visited by Isaac GEN 26:1; 2CH 14:13,14
-2. A valley GEN 26:17-22"
G,GERGESENES,-See GADARENES
G,GERIZIM,"-Mount of blessing DEU 11:29; 27:12; JOS 8:33
-Jotham addresses the Shechemites from, against the conspiracy of Abimelech JDG 9:7
-Samaritans worship at JHN 4:20"
G,GERSHOM,"-1. Son of Moses EXO 2:22; 18:3; 1CH 23:15,16; 26:24
-2. GERSHOM
     -See GERSHON
-3. A descendant of Phinehas EZR 8:2
-4. A Levite JDG 18:30"
G,GERSHON,"-Also called GERSHOM
-Son of Levi GEN 46:11; EXO 6:16,17; NUM 3:17-26; 4:22-28,38; 7:7; 10:17; 26:57; JOS 21:6; 1CH 6:1,16,17,20,43,62,71; 15:7; 23:6"
G,GESHAM,-A descendant of Caleb 1CH 2:47
G,GESHEM,"-Also called GASHMU, an Arabian
-Opposed Nehemiah in building Jerusalem NEH 2:19; 6:1-6"
G,GESHUR,"-District east of the sources of the Jordan River. The inhabitants of, not subdued by the Israelites DEU 3:14; JOS 13:2-13; 1CH 2:23
-Inhabitants of one of the villages of, exterminated, and the spoils taken by David 1SA 27:8
-David marries a princess of 2SA 3:3; 1CH 3:2
-Absalom takes refuge in, after the murder of Amnon 2SA 1:3"
G,GETHSEMANE,"-(A garden near Jerusalem)
-Jesus betrayed in MAT 26:36-50; MRK 14:32-46; LUK 22:39-49; JHN 18:1,2"
G,GEZER,"-Also called GAZER, GAZARA, GAZERA, and GOB
-A Canaanitish royal city
-King of, defeats Joshua JOS 10:33; 12:12
-Canaanites not all expelled from, but made to pay tribute (taxes) JOS 16:10; JDG 1:29
-Allotted to the half-tribe of Ephraim JOS 16:3,10; 1CH 7:28
-Assigned to Levites JOS 21:21
-Battle with Philistines at 1CH 20:4; 2SA 21:18
-Struck by David 1SA 27:8
-Fortified by Solomon 1KI 9:15-17; 12:23"
G,GHOST,"-Soul ACT 5:5,10; 12:23
-See SPIRIT
-See MAN, CREATED A SPIRIT"
G,GIAH,-A place on the way to the wilderness of Gibeon 2SA 2:24
G,GIANTS,"-General scriptures concerning GEN 6:4
-See ANAKIM
-See EMIMS
-See GOLIATH
-See ISHBI-BENOB
-See OG
-See REPHAIM
-See ZAMZUMMIM"
G,GIBBAR,"-General scriptures concerning EZR 2:20
-See GIBEON"
G,GIBBETHON,"-A city of the tribe of Dan JOS 19:44
-Allotted to the Levites JOS 21:23
-Besieged by Israel, while in possession of Philistines 1KI 15:27; 16:15,17"
G,GIBEA,-A descendant of Judah 1CH 2:49
G,GIBEAH,"-1. OF JUDAH JOS 15:57
-2. OF SAUL
     -Also called GIBEAH OF BENJAMIN
     -The people's wickedness JDG 19:12-30; HOS 9:9; 10:9
     -Destroyed by the Israelites JDG 20
     -The city of Saul 1SA 10:26; 15:34; 22:6
     -The ark of the covenant conveyed to, by the Philistines 1SA 7:1; 2SA 6:3
     -Deserted ISA 10:29
-3. Another town in Benjamin, also called GIBEATH, in JOS 18:28
-4. GIBEAH IN THE FIELD JDG 20:31
     -Probably identical with [1816]GEBA (which see)"
G,GIBEON,"-1. A city of the Hivites JOS 9:3,17; 2SA 21:2
     -The people of, adroitly draw Joshua into a treaty JOS 9
     -Made servants by the Israelites, when their sharp practice was discovered JOS 9:27
     -The sun stands still over, during Joshua's battle with the five confederated kings JOS 10:12-14
     -Allotted to Benjamin JOS 18:25
     -Assigned to the Aaronites JOS 21:17
     -The tabernacle located at 1KI 3:4; 1CH 16:39; 21:29; 2CH 1:2,3,13
     -Smitten by David 1CH 14:16
     -Seven sons of Saul killed at, to avenge the inhabitants of 2SA 21:1-9
     -Solomon worships at, and offers sacrifices 1KI 3:4
     -Has the dream concerning righteousness 1KI 3:5; 9:2
     -Abner slays Asahel at 2SA 3:30
     -Ishmael, the son of Nethaniah, defeated at, by Johanan JER 41:11-16
-2. Pool of 2SA 2:13; JER 41:12"
G,GIDDALTI,"-A son of Heman 1CH 25:4,29"
G,GIDDEL,"-1. One of the Nethinim EZR 2:47; NEH 7:49
-2. One of Solomon's servants EZR 2:56; NEH 7:58"
G,GIDEON,"-Call of, by an angel JDG 6:11,14
-His excuses JDG 6:15
-Promises of the Lord to JDG 6:16
-Angel attests the call to, by miracle JDG 6:21-24
-He destroys the altar of Baal, and builds one to the Lord JDG 6:25-27
-His prayer tests JDG 6:36-40
-Leads an army against and defeats the Midianites JDG 6:33-35; 7; 8:4-12
-Reproaches the Ephraimites for not joining in the campaign against the Midianites JDG 8:1-3
-Avenges himself upon the people of Succoth JDG 8:14-17
-Israel desires to make him king; he refuses JDG 8:22,23
-Makes an ephod which becomes a snare to the Israelites JDG 8:24-27
-Had seventy sons JDG 8:30
-Death of JDG 8:32
-Faith of HEB 11:32"
G,GIDEONI,"-Father of Abidan NUM 1:11; 2:22; 7:60,65; 10:24"
G,GIDOM,-Limit of pursuit after battle of Gibeah JDG 20:45
G,GIFTS FROM GOD,"-SPIRITUAL
     -Christ, the Saviour ISA 42:6; 55:4; JHN 3:16; 4:10; 6:32,33
     -The Holy Spirit, the Comforter
          -See HOLY SPIRIT
     -Grace JAS 4:6
     -Wisdom PRO 2:6; JAS 1:5
     -Repentance ACT 11:18
     -Faith EPH 2:8; PHP 1:29
-TEMPORAL
     -Food and raiment MAT 6:25,33
     -Rain and fruitful seasons GEN 8:22; 27:28; LEV 26:4,5; ISA 30:23
     -Wisdom 2CH 1:12
     -Peace LEV 26:6; 1CH 22:9
     -To be used and enjoyed ECC 3:13; 5:19,20; 1TI 4:4,5
     -Should cause us to remember God DEU 8:18
     -All creatures partake of PSA 136:25; 145:15,16
     -Prayer for ZEC 10:1; MAT 6:11
-UNCLASSIFIED SCRIPTURES RELATING TO BOTH TEMPORAL AND SPIRITUAL PSA 4:7; 21:2; 29:11; 34:10; 68:18,35; 84:11; ECC 2:26; ISA 42:5; EZK 11:19; DAN 2:21-23; MAT 11:28; 25:14-30; JHN 6:27; 16:23,24; 17:22; ROM 5:16-18; 6:23; 8:32; 11:29; 12:6-8; 1CO 1:5-7; 7:7; 12:4-11; 13:2; EPH 4:7,8; 1TI 6:17; JAS 1:17; 1PE 4:10; 2PE 1:3
     -See BENEFICENCE
     -See GIVING
     -See LIBERALITY"
G,GIHON,"-1. A river in Egypt GEN 2:13
-2. Pools near Jerusalem 1KI 1:33,38,45
     -Hezekiah brings the waters of the upper pool by an aqueduct into the city of Jerusalem 2CH 32:4,30; 33:14; NEH 2:13-15; 3:13-16; ISA 7:3; 22:9-11; 36:2"
G,GILALAI,-A priest and musician NEH 12:36
G,GILBOA,"-A hill south of Jezreel, where Saul was defeated by the Philistines, and died 1SA 28:4; 31:1-8; 1CH 10:1-8"
G,GILEAD,"-1. A region east of the Jordan River allotted to the tribes of Reuben and Gad and the half tribe of Manasseh NUM 32:1-30; DEU 3:13; 34:1; 2KI 10:33
     -Reubenites expel the Hagarites from 1CH 5:9,10,18-22
     -Ammonites make war against; defeated by Jephthah JDG 11
     -The prophet Elijah a native of 1KI 17:1
     -David retreats to, at the time of Absalom's rebellion 2SA 17:16,22,24
     -Pursued into, by Absalom 2SA 17:26
     -Absalom defeated and slain in the forests of 2SA 18:9
     -Hazael, king of Syria, smites the land of 2KI 10:32,33; AMO 1:3
     -Invaded by Tiglath-pileser, king of Syria 2KI 15:29
     -A grazing country NUM 32:1; 1CH 5:9
     -Exported spices, balm, and myrrh GEN 37:25; JER 8:22; 46:11
-FIGURATIVE
     -Of prosperity JER 22:6; 50:19
-2. A mountain JDG 7:3; So 4:1; 6:5
     -Laban overtakes Jacob at GEN 31:21-25
-3. A city HOS 6:8; 12:11
-4. Grandson of Manasseh NUM 26:29,30; 27:1; 36:1; JOS 17:1,3; 1CH 2:21,23; 7:14,17
-5. Father of Jephthah JDG 11:1,2
-6. A chief of Gad 1CH 5:14"
G,GILGAL,"-1. Place of the first encampment of the Israelites west of the Jordan River JOS 4:19; 9:6; 10:6,43; 14:6
     -Monument erected in, to commemorate the passage across the Jordan River by the people of Israel JOS 4:19-24
     -Circumcision renewed at JOS 5:2-9
     -Passover kept at JOS 5:10,11
     -Manna ceased at, after the Passover JOS 5:12
     -Quarries at JDG 3:19
     -Eglon, king of Moab, resides and is slain at JDG 3:14-26
     -A judgment seat, where Israel, in that district, came to be judged by Samuel 1SA 7:16
     -Saul proclaimed king over all Israel at 1SA 11:15
     -An altar built at, and sacrifice offered 1SA 11:15; 13:4-15; 15:6-23
     -Agag, king of the Amalekites, slain at, by Samuel 1SA 15:33
     -Tribe of Judah assembles at, to proceed to the east side of the Jordan River to conduct King David back after the defeat of Absalom 2SA 19:14,15,40-43
     -A school of the prophets at 2KI 4:38-40
     -Prophecies concerning HOS 4:15; 9:15; 12:11; AMO 4:4; 5:5
-2. A royal city in Canaan
     -Conquered by Joshua JOS 12:23"
G,GILOH,-A town in Judah JOS 15:51; 2SA 15:12
G,GIMZO,-A city of Judah 2CH 28:18
G,GIN,"-A snare AMO 3:5
-See SNARE"
G,GINATH,"-Father of Tibni 1KI 16:21,22"
G,GINNETHON,"-Also called GINNETHO, a companion of Nehemiah NEH 10:6; 12:4,16"
G,GIRDLE,"-Worn by the high priest EXO 28:4,39; 39:29; LEV 8:7; 16:4
-Other priests EXO 28:40; 29:9; LEV 8:13
-Women ISA 3:24
-Embroidered EXO 28:8
-Made of linen PRO 31:24
-Made of leather 2KI 1:8; MAT 3:4
-Traffic in PRO 31:24
-Used to bear arms 1SA 18:4; 2SA 20:8; 2KI 3:21
-FIGURATIVE ISA 11:5; 22:21; EPH 6:14
-SYMBOLICAL JER 13:1-11; ACT 21:11; REV 15:6"
G,GIRGASHITES,"-Land of, given to Abraham and his descendants GEN 15:21; DEU 7:1; JOS 3:10; NEH 9:8
-Delivered to the people of Israel JOS 24:11"
G,GISPA,"-Also called GISPHA, an overseer of the Nethinim NEH 11:21"
G,GITTAH-HEPHER,-A lengthened form of GATH-HEPHER (which see) JOS 19:13
G,GITTAIM,-A place of which little is known 2SA 4:3; NEH 11:33
G,GITTITE,-See GATH
G,GITTITH,-See MUSIC
G,GIVING,"-RULES FOR MAT 6:1-4; 1CO 16:2; 2CO 8:11,12,14; 9:6,7
     -See ALMS
     -See BENEFICENCE
     -See LIBERALITY"
G,GIZONITE,-A man or town of Judah 1CH 11:34
G,GLADIATOR,"-Paul contended with wild ""beasts"" 1CO 15:32"
G,GLADNESS,-See JOY
G,GLASS,"-General scriptures concerning JOB 28:17
-Symbolical REV 21:18,21
-Sea of REV 15:2
-See MIRROR"
G,GLEANING,"-Laws concerning LEV 19:9,10; 23:22; DEU 24:19,20
-See ORPHAN
-See STRANGER
-See WIDOW
-FIGURATIVE JDG 8:2; ISA 17:6; JER 49:9; MIC 7:1
-INSTANCES OF
     -Ruth in the field of Boaz RUT 2:2,3"
G,GLEDE,-A carnivorous bird DEU 14:13
G,GLORIFYING GOD,"-Commanded 1CH 16:28; PSA 22:23; ISA 42:12
-Due to him 1CH 16:29
-For his holiness PSA 99:9; REV 15:4
-Mercy and truth PSA 115:1; ROM 15:9
-Faithfulness and truth ISA 25:1
-Wondrous works MAT 15:31; ACT 4:21
-Judgments ISA 25:3; EZK 28:22; REV 14:7
-Deliverances PSA 50:15
-Grace to others ACT 11:18; 2CO 9:13; GAL 1:24
-Accomplished by
     -Relying on his promises ROM 4:20
     -Praising him PSA 50:23
     -Doing all to glorify him 1CO 10:31
     -Dying for him JHN 21:19
     -Suffering for Christ 1PE 4:14,16
     -Glorifying Christ ACT 19:17; 2TH 1:12
     -Bringing forth fruits of righteousness JHN 15:8; PHP 1:11
     -Patience in affliction ISA 24:15
     -Faithfulness 1PE 4:11
-Required in body and spirit 1CO 6:20
-Shall be universal PSA 86:9; REV 5:13
-Saints
     -Should resolve to PSA 69:30; 118:28
     -Unite in PSA 34:3; ROM 15:6
     -Persevere in PSA 86:12
-All the blessings of God are designed to lead to ISA 60:21; 61:3
-The holy example of the saints may lead others to MAT 5:16; 1PE 2:12
-All, by nature, fail in ROM 3:23
-The wicked averse to DAN 5:23; ROM 1:21
-Punishment for not DAN 5:23,30; MAL 2:2; ACT 12:23; ROM 1:21
-Heavenly hosts engaged in REV 4:11
-EXEMPLIFIED
     -By David PSA 57:5
     -The multitude MAT 9:8; 15:31
     -The virgin Mary LUK 1:46
     -The angels LUK 2:14
     -The shepherds LUK 2:20
     -By Jesus JHN 17:4
     -The man sick with palsy LUK 5:25
     -The woman with infirmity LUK 13:13
     -The leper whom Jesus healed LUK 17:15
     -The blind man LUK 18:43
     -The centurion LUK 23:47
     -The congregation at Jerusalem ACT 11:8
     -The Gentiles (non-Jewish people) at Antioch (of Syria) ACT 13:48
     -Abraham ROM 4:20
     -Paul ROM 11:36"
G,GLORY,"-God is, to his people PSA 3:3; ZEC 2:5
-Christ is, to his people ISA 60:1; LUK 2:32
-The gospel ordained to be, to saints 1CO 2:7
-Of the gospel exceeds that of the law 2CO 3:9,10
-The joy of saints is full of 1PE 1:8
-SPIRITUAL
     -Is given by God PSA 84:11
     -Is given by Christ JHN 17:22
     -Is the work of the Holy Spirit 2CO 3:18
-ETERNAL
     -Procured by the death of Christ HEB 2:10
     -Accompanies salvation by Christ 2TI 2:10
     -Inherited by saints 1SA 2:8; PSA 73:24; PRO 3:35; COL 3:4; 1PE 5:10
     -Saints called to 2TH 2:14; 1PE 5:10
     -Saints prepared unto ROM 9:23
     -Enhanced by afflictions 2CO 4:17
     -Present afflictions not worthy to be compared with ROM 8:18
     -Of God's people shall be rich and abundant ISA 60:11-13
     -The bodies of saints shall be raised in 1CO 15:43; PHP 3:21
     -Saints shall be, of their ministers 1TH 2:19,20
     -Afflictions of ministers are, to saints EPH 3:13
-TEMPORAL
     -Is given by God DAN 2:37
     -Passes away 1PE 1:24
     -The devil tries to seduce by MAT 4:8
     -Of hypocrites turned to shame HOS 4:7
     -Seek not, from man MAT 6:2; 1TH 2:6
     -Of the wicked is in their shame PHP 3:19
     -Ends in destruction ISA 5:14
-OF GOD
     -Exhibited in Christ JHN 1:14; 2CO 4:6; HEB 1:3
     -Exhibited in his name DEU 28:58; NEH 9:5
     -His majesty JOB 37:22; PSA 93:1; 104:1; 145:5,12; ISA 2:10
     -His power EXO 15:1,6; ROM 6:4
     -His works PSA 19:1; 111:3
     -His holiness EXO 15:11
     -Described as great PSA 138:5
     -Eternal PSA 104:31
     -Rich EPH 3:16
     -Highly exalted PSA 8:1; 113:4
     -Exhibited to Moses EXO 34:5-7; with 33:18-23
     -Stephen ACT 7:55
     -The people of God DEU 5:24; PSA 102:16
     -Enlightens God's people ISA 60:1,2; REV 21:11,23
     -Saints desire to behold PSA 63:2; 90:16
     -God is jealous of ISA 42:8
     -The earth is full of ISA 6:3
     -The knowledge of, shall fill the earth HAB 2:14"
G,GLUTTONY,"-General scriptures concerning EXO 16:20,21,27; NUM 11:32,33; DEU 21:20,21; PRO 23:21; 30:21,22; ECC 10:17; ISA 22:13; AMO 6:4-7; LUK 12:19,20,45,46; 21:34; ROM 13:13,14; 1CO 15:32; PHP 3:19; 1PE 4:3; Jude 1:12
-INSTANCES OF
     -Esau GEN 25:30-34; with HEB 12:16,17
     -Israel NUM 11:4; with PSA 78:18
     -Sons of Eli 1SA 2:12-17
     -Belshazzar DAN 5:1"
G,GNASHING OF TEETH,"-General scriptures concerning JOB 16:9; PSA 35:1,6; 37:12; 112:10; LAM 2:16; MAT 8:12; 13:42; 22:13; 24:51; 25:30; LUK 13:28
-See TEETH"
G,GOAD,"-An instrument of torture 1SA 13:21
-600 Men killed with, by Shamgar, a judge (hero) of Israel JDG 3:31
-FIGURATIVE
     -Of mental incentive ECC 12:11"
G,GOAT,"-Designated as one of the ceremonially clean animals to be eaten DEU 14:4; with LEV 11:1-8
-Used for food GEN 27:9; 1SA 16:20
-For the paschal feast EXO 12:5; 2CH 35:7
-As a sacrifice by Abraham GEN 15:9
-By Gideon JDG 6:19
-Manoah JDG 13:19
-Milk of, used for food PRO 27:27
-Hair of, used for clothing NUM 31:20
-Pillows 1SA 19:13
-Curtains of the tabernacle EXO 26:7; 35:23; 36:14
-Used for tents
     -See TABERNACLES
-Regulations of Mosaic law required that a baby goat should not be killed for food before it was eight days old LEV 22:27
-Nor seethed in its mother's milk EXO 23:19
-Numerous DEU 32:14; So 4:1; 6:5; 1SA 25:2; 2CH 17:11
-Wild, in Palestine 1SA 24:2; PSA 104:18"
G,GOATH,-A place near Jerusalem JER 31:39
G,GOB,-(Also called [1834]GEZER (which see)
G,GOBLET,-See CUP
