strongs_number,word,gloss,language,part_of_speech,gender,occurrences,first_occurrence,root_word,word_root_occurrence,first_root_number,first_root_hebrew,second_root_number,second_root_hebrew,third_root_number,third_root_hebrew
2101,זוֹב,"zowb (zobe) n-m.
1. a seminal or menstrual flux
[from H2100]
KJV: issue. 
Root(s): H2100 ",H,noun,masculine,13,LEV 15:2,זוב,,2100,זוב,,,,
2102,זוּד זִידּ,"zuwd (zood) (or (by permutation) ziyd {zeed}) v.
1. to seethe
2. (figuratively) to be insolent
[a primitive root]
KJV: be proud, deal proudly, &Š presume, (come) presumptuously, sod. ",H,verb,,10,GEN 25:29,זוד זיד,,,,,,,
2103,זוּד,"zuwd (zood) v.
1. to be proud
[(Aramaic) corresponding to H2102]
KJV: in pride. 
Root(s): H2102 ",A,verb,,1,DAN 5:20,זוד זיד,,2102,זוד זיד,,,,
2104,זוּזִים,"Zuwziym (zoo-zeem') n-m.
1. prominent
2. Zuzites, an aboriginal tribe of Israel
[plural probably from the same as H2123]
KJV: Zuzims. 
Root(s): H2123 ",H,noun,masculine,1,GEN 14:5,,,2123,זיז,,,,
2105,זוֹחֵת,"Zowcheth (zo-khayth') n/p.
1. Zocheth, an Israelite
[of uncertain origin]
KJV: Zoheth. ",H,noun proper,,1,1CH 4:20,,,,,,,,
2106,זָוִיתּ,"zaviyth (zaw-veeth') n-f.
1. an angle (as projecting)
2. (by implication) a corner-column (or anta)
[apparently from the same root as H2099 (in the sense of prominence)]
KJV: corner(stone). 
Root(s): H2099 ",H,noun,feminine,2,PSA 144:12,,,2099,זו,,,,
2107,זוּל,"zuwl (zool) v.
1. probably to shake out
2. (by implication) to scatter profusely
3. (figuratively) to treat lightly
[a primitive root]
KJV: lavish, despise. 
Compare: H2151 ",H,verb,,2,ISA 46:6,זול,,,,,,,
2108,זוּלָה,"zuwlah (zoo-law') adj.
1. probably scattering, i.e. removal
2. used adverbially, except
[from H2107]
KJV: beside, but, only, save. 
Root(s): H2107 ",H,adjective,,16,DEU 1:36,,,2107,זול,,,,
2109,זוּן,"zuwn (zoon) v.
1. perhaps properly, to be plump, i.e. (transitively) to nourish
[a primitive root]
KJV: feed. ",H,verb,,1,JER 5:8,זון,,,,,,,
2110,זוּן,"zuwn (zoon) v.
1. feed
[(Aramaic) corresponding to H2109]
 Root(s): H2109 ",A,verb,,1,DAN 4:12,זון,,2109,זון,,,,
2111,זוַּע,"zuwa` (zoo'-ah) v.
1. (properly) to shake off, i.e. (figuratively) to agitate (as with fear)
[a primitive root]
KJV: move, tremble, vex. ",H,verb,,3,EST 5:9,זוע,,,,,,,
2112,זוַּע,"zuwa` (zoo'-ah) v.
1. to shake (with fear)
[(Aramaic) corresponding to H2111]
KJV: tremble. 
Root(s): H2111 ",A,verb,,2,DAN 5:19,זוע,,2111,זוע,,,,
2113,זְוָעָה,"zva`ah (zev-aw-aw') n-f.
1. agitation, fear
[from H2111]
KJV: be removed, trouble, vexation. 
Root(s): H2111 
Compare: H2189 ",H,noun,feminine,6,2CH 29:8,זוע,,2111,זוע,,,,
2114,זוּר,"zuwr (zoor) v.
1. to turn aside (especially for lodging)
2. hence to be a foreigner, strange, profane
3. specifically (active participle) to commit adultery
[a primitive root]
KJV: (come from) another (man, place), fanner, go away, (e-)strange(-r, thing, woman). ",H,verb,,77,EXO 29:33,זור,,,,,,,
2115,זוּר,"zuwr (zoor) v.
1. to press together, &Š tighten
[a primitive root]
KJV: close, rush, thrust together. 
Compare: H6695 ",H,verb,,3,JDG 6:38,זור,,,,,,,
2116,זוּרֶה,"zuwreh (zoo-reh') n-m.
1. trodden on
[from H2115]
KJV: that which is crushed. 
Root(s): H2115 ",H,noun,masculine,1,ISA 59:5,זור,,2115,זור,,,,
2117,זָזָא,"zaza' (zaw-zaw') n/p.
1. prominent
2. Zaza, an Israelite
[probably from the root of H2123]
KJV: Zaza. 
Root(s): H2123 ",H,noun proper,,1,1CH 2:33,,,2123,זיז,,,,
2118,זָחַח,"zachach (zaw-khakh') v.
1. to shove or displace
[a primitive root]
KJV: loose. ",H,verb,,2,EXO 28:28,זחח,,,,,,,
2119,זָחַל,"zachal (zaw-khal') v.
1. to crawl
2. (by implication) to fear
[a primitive root]
KJV: be afraid, serpent, worm. ",H,verb,,3,DEU 32:24,זחל,,,,,,,
2120,זוֹחֶלֶת,"Zocheleth (zo-kheh'-leth) n/p.
1. crawling (i.e. serpent)
2. Zocheleth, a boundary stone in. Israel
[feminine active participle of H2119]
KJV: Zoheleth. 
Root(s): H2119 ",H,noun proper,,1,1KI 1:9,זחל,,2119,זחל,,,,
2121,זֵידּוֹן,"zeydown (zay-dohn') adj.
1. boiling of water, i.e. wave
[from H2102]
KJV: proud. 
Root(s): H2102 ",H,adjective,,1,PSA 124:5,זוד זיד,,2102,זוד זיד,,,,
2122,זִיו,"ziyv (zeev) n-m.
1. (figuratively) cheerfulness
[(Aramaic) corresponding to H2099]
KJV: brightness, countenance. 
Root(s): H2099 ",A,noun,masculine,6,DAN 2:31,,,2099,זו,,,,
2123,זִיז,"ziyz (zeez) n-m.
1. fulness of the breast
2. also a moving creature
[from an unused root apparently meaning to be conspicuous]
KJV: abundance, wild beast. ",H,noun,masculine,3,PSA 50:11,,,,,,,,
2124,זִיזָא,"Ziyza' (zee-zaw') n/p.
1. prominence
2. Ziza, the name of two Israelites
[apparently from the same as H2123]
KJV: Ziza. 
Root(s): H2123 ",H,noun proper,,2,1CH 4:37,,,2123,זיז,,,,
2125,זִיזָה,"Ziyzah (zee-zaw') n/p.
1. Zizah, an Israelite
[another form for H2124]
KJV: Zizah. 
Root(s): H2124 ",H,noun proper,,1,1CH 23:11,,,2124,זיזא,,,,
2126,זִינָא,"Ziyna' (zee-naw') n/p.
1. well-fed
2. Zina, an Israelite
[from H2109; or perhaps an orthographical error for H2124]
KJV: Zina. 
Root(s): H2109, H2124 ",H,noun proper,,1,1CH 23:10,זון,,2109,זון,2124,זיזא,,
2127,זִיַע,"Ziya` (zee'-ah) n/p.
1. agitation
2. Zia, an Israelite
[from H2111]
KJV: Zia. 
Root(s): H2111 ",H,noun proper,,1,1CH 5:13,זוע,,2111,זוע,,,,
2128,זִיף,"Ziyph (zeef) n/l.
1. flowing
2. Ziph, the name of a place in Israel
3. also of an Israelite
[from the same as H2203]
KJV: Ziph. 
Root(s): H2203 ",H,noun location,,10,JOS 15:24,,,2203,זפת,,,,
2129,זִיפָה,"Ziyphah (zee-faw') n/p.
1. a flowing
2. Ziphah, an Israelite
[feminine of H2128]
KJV: Ziphah. 
Root(s): H2128 ",H,noun proper,,1,1CH 4:16,,,2128,זיף,,,,
2130,זִיפִי,"Ziyphiy (zee-fee') n-m.
1. a Ziphite or inhabitant of Ziph
[patrial from H2128]
KJV: Ziphim, Ziphite. 
Root(s): H2128 ",H,noun,masculine,3,1SA 23:19,,,2128,זיף,,,,
2131,זִיקָה זִק זֵק,"ziyqah (zee-kaw') ((Isa. 50) n-m.
1. (properly) what leaps forth, i.e. flash of fire, or a burning arrow
2. (from the original sense of the root) a bond
[from H2187]
KJV: chain, fetter, firebrand, spark. 
Root(s): H2187 
See also: H50 ",H,noun,masculine,7,JOB 36:8,זנק,,2187,זנק,,,,
2132,זַיִת,"zayith (zay'-yith) n-m.
1. an olive (as yielding illuminating oil), the tree, the branch or the berry
[probably from an unused root (akin to H2099)]
KJV: olive (tree, -yard), Olivet. 
Root(s): H2099 ",H,noun,masculine,38,GEN 8:11,,,2099,זו,,,,
2133,זֵיתָּן,"Zeythan (zay-thawn') n/p.
1. olive grove
2. Zethan, an Israelite
[from H2132]
KJV: Zethan. 
Root(s): H2132 ",H,noun proper,,1,1CH 7:10,,,2132,זית,,,,
2134,זַך,"zak (zak) adj.
1. clear
[from H2141]
KJV: clean, pure. 
Root(s): H2141 ",H,adjective,,11,EXO 27:20,,,2141,זכך,,,,
2135,זָכָה,"zakah (zaw-kaw') v.
1. to be translucent
2. (figuratively) to be innocent
[a primitive root]
KJV: be (make) clean, cleanse, be clear, count pure. 
Compare: H2141 ",H,verb,,8,JOB 15:14,זכה,,,,,,,
2136,זָכוּ,"zakuw (zaw-koo') n-f.
1. purity
[(Aramaic) from a root corresponding to H2135]
KJV: innocency. 
Root(s): H2135 ",A,noun,feminine,1,DAN 6:22,זכה,,2135,זכה,,,,
2137,זְכוּכִיתּ,"zkuwkiyth (zek-oo-keeth) n-f.
1. (properly) transparency, i.e. glass
[from H2135]
KJV: crystal. 
Root(s): H2135 ",H,noun,feminine,1,JOB 28:17,זכה,,2135,זכה,,,,
2138,זָכוּר,"zakuwr (zaw-koor') n-m.
1. a male (of man or animals)
[(properly) passive participle of H2142, but used for H2145]
KJV: males, men-children. 
Root(s): H2142, H2145 ",H,noun,masculine,4,EXO 23:17,זכר,,2142,זכר,2145,זכר,,
2139,זַכּוּר,"Zakkuwr (zaw-koor') n/p.
1. mindful
2. Zakkur, the name of seven Israelites
[from H2142]
KJV: Zaccur, Zacchur. 
Root(s): H2142 ",H,noun proper,,10,NUM 13:4,זכר,,2142,זכר,,,,
2140,זַכַּי,"Zakkay (zak-kah'-ee) n/p.
1. pure
2. Zakkai, an Israelite
[from H2141]
KJV: Zaccai. 
Root(s): H2141 ",H,noun proper,,3,EZR 2:9,,,2141,זכך,,,,
2141,זָכַך,"zakak (zaw-kak') v.
1. to be transparent or clean (phys. or morally)
[a primitive root]
KJV: be (make) clean, be pure(-r). 
Compare: H2135 ",H,verb,,4,JOB 9:30,זכך,,,,,,,
2142,זָכַר,"zakar (zaw-kar') v.
1. (properly) to mark (so as to be recognized), i.e. to remember
2. (by implication) to mention
3. (also, as denominative from H2145) to be male
[a primitive root]
KJV: X burn (incense), X earnestly, be male, (make) mention (of), be mindful, recount, record(-er), remember, make to be remembered, bring (call, come, keep, put) to (in) remembrance, X still, think on, X well. 
See also: H2145 ",H,verb,,235,GEN 8:1,זכר,,,,,,,
2143,זֵכֶר זֶכֶר,"zeker (zay'-ker) (or zeker {zeh'-ker}) n-m.
1. a memento, abstr. recollection (rarely if ever)
2. (by implication) commemoration
[from H2142]
KJV: memorial, memory, remembrance, scent. 
Root(s): H2142 ",H,noun,masculine,23,EXO 3:15,זכר,,2142,זכר,,,,
2144,זֶכֶר,"Zeker (zeh'-ker) n/p.
1. Zeker, an Israelite
[the same as H2143]
KJV: Zeker. 
Root(s): H2143 ",H,noun proper,,1,1CH 8:31,,,2143,זכר זכר,,,,
2145,זָכָר,"zakar (zaw-kawr') adj.
1. (properly) remembered, i.e. a male (of man or animals, as being the most noteworthy sex)
[from H2142]
KJV: X him, male, man(child, -kind). 
Root(s): H2142 ",H,adjective,,82,GEN 1:27,זכר,,2142,זכר,,,,
2146,זִכרוֹן,"zikrown (zik-rone') n-m.
1. a memento (or memorable thing, day or writing)
[from H2142]
KJV: memorial, record. 
Root(s): H2142 ",H,noun,masculine,24,EXO 12:14,זכר,,2142,זכר,,,,
2147,זִכרִי,"Zikriy (zik-ree') n/p.
1. memorable
2. Zicri, the name of twelve Israelites
[from H2142]
KJV: Zichri. 
Root(s): H2142 ",H,noun proper,,12,EXO 6:21,זכר,,2142,זכר,,,,
2148,זְכַריָה זְכַריָהוּ,"Zkaryah (zek-ar-yaw') (or Zkaryahuw {zek-ar-yaw'-hoo}) n/p.
1. Jah has remembered
2. Zecarjah, the name of twenty-nine Israelites
[from H2142 and H3050]
KJV: Zachariah, Zechariah. 
Root(s): H2142, H3050 ",H,noun proper,,43,2KI 14:29,זכר,,2142,זכר,3050,יה,,
2149,זוּלּוּת,"zulluwth (zool-looth') n-m.
1. (properly) a shaking, i.e. perhaps a tempest
[from H2151]
KJV: vilest. 
Root(s): H2151 ",H,noun,masculine,1,PSA 12:8,זלל,,2151,זלל,,,,
2150,זַלזַל,"zalzal (zal-zal') n-m.
1. tremulous, i.e. a twig
[by reduplication from H2151]
KJV: sprig. 
Root(s): H2151 ",H,noun,masculine,1,ISA 18:5,זלל,,2151,זלל,,,,
2151,זָלַל,"zalal (zaw-lal') v.
1. to shake (as in the wind), i.e. to quake
2. (figuratively) to be loose morally, worthless or prodigal
[a primitive root]
KJV: blow down, glutton, riotous (eater), vile. 
Compare: H2107 ",H,verb,,8,DEU 21:20,זלל,,,,,,,
2152,זַלעָפָה זִלעָפָה,"zal`aphah (zal-aw-faw') (or ziliaphaph {zil-aw-faw'}) n-f.
1. a glow (of wind or anger)
2. also a famine (as consuming)
[from H2196]
KJV: horrible, horror, terrible. 
Root(s): H2196 ",H,noun,feminine,3,PSA 11:6,זעף,,2196,זעף,,,,
2153,זִלפָּה,"Zilpah (zil-paw) n/p.
1. fragrant dropping
2. Zilpah, Leah's maid
KJV: Zilpah. ",H,noun proper,,7,GEN 29:24,,,,,,,,
2154,זִמָּה זַמָּה,"zimmah (zim-maw') (or zammah {zam-maw'}) v.
1. a plan, especially a bad one
[from H2161]
KJV: heinous crime, lewd(-ly, -ness), mischief, purpose, thought, wicked (device, mind, -ness). 
Root(s): H2161 ",H,verb,,29,LEV 18:17,זמה,,2161,זמם,,,,
2155,זִמָּה,"Zimmah (zim-maw') n/p.
1. Zimmah, the name of two Israelites
[the same as H2154]
KJV: Zimmah. 
Root(s): H2154 ",H,noun proper,,3,1CH 6:20,זמה,,2154,זמה זמה,,,,
2156,זְמוֹרָה זְמוֹרָה זְמוֹר,"zmowrah (zem-o-raw') (or zmorah {zem-o-raw'} (feminine) and zmor {zem-ore'} (masculine);) n-e.
1. a twig (as pruned)
[from H2168]
KJV: vine, branch, slip. 
Root(s): H2168 ",H,noun,,5,NUM 13:23,,,2168,זמר,,,,
2157,זַמזוֹם,"Zamzom (zam-zome') n/p.
1. intriguing
2. a Zamzumite, or native tribe of Israel
[from H2161]
KJV: Zamzummim. 
Root(s): H2161 ",H,noun proper,,1,DEU 2:20,זמם,,2161,זמם,,,,
2158,זָמִיר זָמִר זְמִרָה,"zamiyr (zaw-meer') (or zamir {zaw-meer'} and (feminine) zmirah {zem-ee-raw'};) n-m.
1. a song to be accompanied with instrumental music
[from H2167]
KJV: psalm(-ist), singing, song. 
Root(s): H2167 ",H,noun,masculine,7,2SA 23:1,זמר,,2167,זמר,,,,
2159,זָמִיר,"zamiyr (zaw-meer') n-m.
1. a twig (as pruned)
[from H2168]
KJV: branch. 
Root(s): H2168 ",H,noun,masculine,1,ISA 25:5,,,2168,זמר,,,,
2160,זְמִירָה,"Zmiyrah (zem-ee-raw') n/p.
1. song
2. Zemirah, an Israelite
[feminine of H2158]
KJV: Zemira. 
Root(s): H2158 ",H,noun proper,,1,1CH 7:8,,,2158,זמיר זמר זמרה,,,,
2161,זָמַם,"zamam (zaw-mam') v.
1. to plan, usually in a bad sense
[a primitive root]
KJV: consider, devise, imagine, plot, purpose, think (evil). ",H,verb,,13,GEN 11:6,זמם,,,,,,,
2162,זָמָם,"zamam (zaw-mawm') n-m.
1. a plot
[from H2161]
KJV: wicked device. 
Root(s): H2161 ",H,noun,masculine,1,PSA 140:8,זמם,,2161,זמם,,,,
2163,זָמַן,"zaman (zaw-man') v.
1. to fix (a time)
[a primitive root]
KJV: appoint. ",H,verb,,3,EZR 10:14,זמן,,,,,,,
2164,זְמַן,"zman (zem-an') v.
1. to agree (on a time and place)
[(Aramaic) corresponding to H2163]
KJV: prepare. 
Root(s): H2163 ",A,verb,,1,DAN 2:9,זמן,,2163,זמן,,,,
2165,זְמָן,"zman (zem-awn') n-m.
1. an appointed occasion
[from H2163]
KJV: season, time. 
Root(s): H2163 ",H,noun,masculine,4,NEH 2:6,זמן,,2163,זמן,,,,
2166,זְמָן,"zman (zem-awn') n-m.
1. the same as H2165
[(Aramaic) from H2165]
KJV: season, time. 
Root(s): H2165, H2165 ",A,noun,masculine,11,EZR 5:3,,,2165,זמן,2165,זְמן,,
2167,זָמַר,"zamar (zaw-mar') v.
1. (properly) to touch the strings or parts of a musical instrument, i.e. play upon it
2. to make music, accompanied by the voice
3. hence to celebrate in song and music
[a primitive root (perhaps ident. with H2168 through the idea of striking with the fingers)]
KJV: give praise, sing forth praises, psalms. 
Root(s): H2168 ",H,verb,,45,JDG 5:3,זמר,,2168,זמר,,,,
2168,זָמַר,"zamar (zaw-mar') v.
1. to trim (a vine)
[a primitive root]
KJV: prune. 
Compare: H2167, H5568, H6785 ",H,verb,,3,LEV 25:3,זמר,,,,,,,
2169,זֶמֶר,"zemer (zeh'-mer) n-m.
1. a gazelle (from its lightly touching the ground)
[apparently from H2167 or H2168]
KJV: chamois. 
Root(s): H2167, H2168 ",H,noun,masculine,1,DEU 14:5,זמר,,2167,זמר,2168,זמר,,
2170,זְמָר,"zmar (zem-awr') n-m.
1. instrumental music
[(Aramaic) from a root corresponding to H2167]
KJV: musick. 
Root(s): H2167 ",A,noun,masculine,4,DAN 3:5,זמר,,2167,זמר,,,,
2171,זַמָּר,"zammar (zam-mawr') n-m.
1. an instrumental musician
[(Aramaic) from the same as H2170]
KJV: singer. 
Root(s): H2170 ",A,noun,masculine,1,EZR 7:24,,,2170,זמר,,,,
2172,זִמרָה,"zimrah (zim-raw') n-f.
1. a musical piece or song to be accompanied by an instrument
[from H2167]
KJV: melody, psalm. 
Root(s): H2167 ",H,noun,feminine,4,PSA 81:2,זמר,,2167,זמר,,,,
2173,זִמרָה,"zimrah (zim-raw') n-f.
1. pruned (i.e. choice) fruit
[from H2168]
KJV: best fruit. 
Root(s): H2168 ",H,noun,feminine,1,GEN 43:11,,,2168,זמר,,,,
2174,זִמרִי,"Zimriy (zim-ree') n/p.
1. musical
2. Zimri, the name of five Israelites, and of an Arabian tribe
[from H2167]
KJV: Zimri. 
Root(s): H2167 ",H,noun proper,,15,NUM 25:14,זמר,,2167,זמר,,,,
2175,זִמרָן,"Zimran (zim-rawn') n/p.
1. musical
2. Zimran, a son of Abraham by Keturah
[from H2167]
KJV: Zimran. 
Root(s): H2167 ",H,noun proper,,2,GEN 25:2,זמר,,2167,זמר,,,,
2176,זִמרָת,"zimrath (zim-rawth') n-f.
1. instrumental music
2. (by implication) praise
[from H2167]
KJV: song. 
Root(s): H2167 ",H,noun,feminine,3,EXO 15:2,זמר,,2167,זמר,,,,
2177,זַן,"zan (zan) n-m.
1. (properly) nourished (or fully developed), i.e. a form or sort
[from H2109]
KJV: divers kinds, X all manner of store. 
Root(s): H2109 ",H,noun,masculine,3,2CH 16:14,זון,,2109,זון,,,,
2178,זַן,"zan (zan) n-m.
1. sort
[(Aramaic) corresponding to H2177]
KJV: kind. 
Root(s): H2177 ",A,noun,masculine,4,DAN 3:5,,,2177,זן,,,,
2179,זָנַב,"zanab (zaw-nab') v.
1. to curtail, i.e. cut off the rear
[a primitive root meaning to wag, used only as a denominative from H2180]
KJV: smite the hindmost. 
Root(s): H2180 ",H,verb,,2,DEU 25:18,,,2180,זנב,,,,
2180,זָנָב,"zanab (zaw-nawb') n-m.
1. the tail (literally or figuratively)
[from H2179 (in the original sense of flapping)]
KJV: tail. 
Root(s): H2179 ",H,noun,masculine,11,EXO 4:4,,,2179,זנב,,,,
2181,זָנָה,"zanah (zaw-naw') v.
1. to commit adultery (usually of the female, and less often of simple fornication, rarely of involuntary ravishment)
2. (figuratively) to commit idolatry (the Jewish people being regarded as the spouse of Jehovah)
[a primitive root (highly-fed and therefore wanton)]
KJV: (cause to) commit fornication, X continually, X great, (be an, play the) harlot, (cause to be, play the) whore, (commit, fall to) whoredom, (cause to) go a-whoring, whorish. ",H,verb,,94,GEN 34:31,זנה,,,,,,,
2182,זָנוַֹח,"Zanowach (zaw-no'-akh) n/l.
1. rejected
2. Zanoach, the name of two places in Israel
[from H2186]
KJV: Zanoah. 
Root(s): H2186 ",H,noun location,,5,JOS 15:34,זנח,,2186,זנח,,,,
2183,זָנוּן,"zanuwn (zaw-noon') n-m.
1. adultery
2. (figuratively) idolatry
[from H2181]
KJV: whoredom. 
Root(s): H2181 ",H,noun,masculine,11,GEN 38:24,זנה,,2181,זנה,,,,
2184,זְנוּת,"znuwth (zen-ooth') n-f.
1. adultery, i.e. (figuratively) infidelity, idolatry
[from H2181]
KJV: whoredom. 
Root(s): H2181 ",H,noun,feminine,9,NUM 14:33,זנה,,2181,זנה,,,,
2185,זוֹנוֹת,"zonowth (zo-noth') n-f.
1. harlots
[regarded by some as if from H2109 or an unused root, and applied to military equipments, but evidently the feminine plural active participle of H2181]
KJV: armour. 
Root(s): H2109, H2181 ",H,noun,feminine,2,1KI 3:16,זנה,,2109,זון,2181,זנה,,
2186,זָנַח,"zanach (zaw-nakh') v.
1. cast away (off), remove far away (off)
[a primitive root meaning to push aside, i.e. reject, forsake, fail]",H,verb,,20,1CH 28:9,זנח,,,,,,,
2187,זָנַק,"zanaq (zaw-nak') v.
1. (properly) to draw together the feet (as an animal about to dart upon its prey), i.e. to spring forward
[a primitive root]
KJV: leap. ",H,verb,,1,DEU 33:22,זנק,,,,,,,
2188,זֵעָה,"ze`ah (zay-aw') n-f.
1. perspiration
[from H2111 (in the sense of H3154)]
KJV: sweat. 
Root(s): H2111, H3154 ",H,noun,feminine,1,GEN 3:19,זוע,,2111,זוע,3154,יזע,,
2189,זַעֲוָה,"za`avah (zah-av-aw') n-f.
1. agitation, maltreatment
[by transposition for H2113]
KJV: X removed, trouble. 
Root(s): H2113 ",H,noun,feminine,7,DEU 28:25,,,2113,זועה,,,,
2190,זַעֲוָן,"Za`avan (zah-av-awn') n/p.
1. disquiet
2. Zaavan, an Idumaean
[from H2111]
KJV: Zaavan. 
Root(s): H2111 ",H,noun proper,,2,GEN 36:27,זוע,,2111,זוע,,,,
2191,זְעֵיר,"ze`eyr (zeh-ayr') n-m.
1. small
[from an unused root (akin (by permutation) to H6819), meaning to dwindle]
KJV: little. 
Root(s): H6819 ",H,noun,masculine,5,JOB 36:2,צער,,6819,צער,,,,
2192,זְעֵיר,"z`eyr (zeh-ayr') adj.
1. little
[(Aramaic) corresponding to H2191]
 Root(s): H2191 ",A,adjective,,1,DAN 7:8,,,2191,זעיר,,,,
2193,זָעַך,"za`ak (zaw-ak') v.
1. to extinguish
[a primitive root]
KJV: be extinct. ",H,verb,,1,JOB 17:1,זעך,,,,,,,
2194,זָעַם,"za`am (zaw-am') v.
1. (properly) to foam at the mouth, i.e. to be enraged
[a primitive root]
KJV: abhor, abominable, (be) angry, defy, (have) indignation. ",H,verb,,12,NUM 23:7,זעם,,,,,,,
2195,זַעַם,"za`am (zah'-am) n-m.
1. strictly froth at the mouth, i.e. (figuratively) fury (especially of God's displeasure with sin)
[from H2194]
KJV: angry, indignation, rage. 
Root(s): H2194 ",H,noun,masculine,22,PSA 38:3,זעם,,2194,זעם,,,,
2196,זָעַף,"za`aph (zaw-af') v.
1. (properly) to boil up, i.e. (figuratively) to be peevish or angry
[a primitive root]
KJV: fret, sad, worse liking, be wroth. ",H,verb,,5,GEN 40:6,זעף,,,,,,,
2197,זַעַף,"za`aph (zah'-af) n-m.
1. anger
[from H2196]
KJV: indignation, rage(-ing), wrath. 
Root(s): H2196 ",H,noun,masculine,6,2CH 16:10,זעף,,2196,זעף,,,,
2198,זָעֵף,"za`eph (zaw-afe') adj.
1. angry
[from H2196]
KJV: displeased. 
Root(s): H2196 ",H,adjective,,2,1KI 20:43,זעף,,2196,זעף,,,,
2199,זָעַק,"za`aq (zaw-ak') v.
1. to shriek (from anguish or danger)
2. by analogy, (as a herald) to announce or convene publicly
[a primitive root]
KJV: assemble, call (together), (make a) cry (out), come with such a company, gather (together), cause to be proclaimed. ",H,verb,,73,EXO 2:23,זעק,,,,,,,
2200,זְעִק,"z`iq (zek'-eek) v.
1. to make an outcry
[(Aramaic) corresponding to H2199]
KJV: cry. 
Root(s): H2199 ",A,verb,,1,DAN 6:20,זעק,,2199,זעק,,,,
2201,זַעַק זְעָקָה,"za`aq (zah'-ak) (and (feminine) zoaqah {zeh-aw-kaw'}) n-f.
1. a shriek or outcry
[from H2199]
KJV: cry(-ing). 
Root(s): H2199 ",H,noun,feminine,19,GEN 18:20,זעק,,2199,זעק,,,,
2202,זִפרוֹן,"Ziphron (zi-frone') n/l.
1. Ziphron, a place in Israel
[from an unused root (meaning to be fragrant)]
KJV: Ziphron.",H,noun location,,1,NUM 34:9,,,,,,,,
2203,זֶפֶת,"zepheth (zeh'-feth) n-f.
1. asphalt (from its tendency to soften in the sun)
[from an unused root (meaning to liquify)]
KJV: pitch. ",H,noun,feminine,3,EXO 2:3,,,,,,,,
2204,זָקֵן,"zaqen (zaw-kane') v.
1. to be old
[a primitive root]
KJV: aged man, be (wax) old (man). ",H,verb,,27,GEN 18:12,זקן,,,,,,,
2205,זָקֵן,"zaqen (zaw-kane') adj.
1. old
[from H2204]
KJV: aged, ancient (man), elder(-est), old (man, men and...women), senator. 
Root(s): H2204 ",H,adjective,,179,GEN 18:11,זקן,,2204,זקן,,,,
2206,זָקָן,"zaqan (zaw-kawn') n-m.
1. the beard (as indicating age)
[from H2204]
KJV: beard. 
Root(s): H2204 ",H,noun,masculine,19,LEV 13:29,זקן,,2204,זקן,,,,
2207,זוֹקֶן,"zoqen (zo'-ken) n-m.
1. old age
[from H2204]
KJV: age. 
Root(s): H2204 ",H,noun,masculine,1,GEN 48:10,זקן,,2204,זקן,,,,
2208,זָקוּן,"zaqun (zaw-koon') n-m.
1. old age
[(properly) passive participle of H2204 (used only in the plural as a noun)]
KJV: old age. 
Root(s): H2204 ",H,noun,masculine,4,GEN 21:2,זקן,,2204,זקן,,,,
2209,זִקנָה,"ziqnah (zik-naw') n-f.
1. old age
[feminine of H2205]
KJV: old (age). 
Root(s): H2205 ",H,noun,feminine,6,GEN 24:36,,,2205,זקן,,,,
2210,זָקַף,"zaqaph (zaw-kaf') v.
1. to life, i.e. (figuratively) comfort
[a primitive root]
KJV: raise (up). ",H,verb,,2,PSA 145:14,זקף,,,,,,,
2211,זְקַף,"zqaph (zek-af') v.
1. to hang, i.e. impale
[(Aramaic) corresponding to H2210]
KJV: set up. 
Root(s): H2210 ",A,verb,,1,EZR 6:11,זקף,,2210,זקף,,,,
2212,זָקַק,"zaqaq (zaw-kak') v.
1. to strain, (figuratively) extract, clarify
[a primitive root]
KJV: fine, pour down, purge, purify, refine. ",H,verb,,7,1CH 28:18,זקק,,,,,,,
2213,זֵר,"zer (zare) n-m.
1. a chaplet (as spread around the top), i.e. (specifically) a border moulding
[from H2237 (in the sense of scattering)]
KJV: crown. 
Root(s): H2237 ",H,noun,masculine,10,EXO 25:11,,,2237,זרר,,,,
2214,זָרָא,"zara' (zaw-raw') n-m.
1. disgust
[from H2114 (in the sense of estrangement)]
KJV: loathsome. 
Root(s): H2114 
Compare: H2219 ",H,noun,masculine,1,NUM 11:20,זור,,2114,זור,,,,
2215,זָרַב,"zarab (zaw-rab') v.
1. to flow away
[a primitive root]
KJV: wax warm. ",H,verb,,1,JOB 6:17,זרב,,,,,,,
2216,זְרוּבָּבֶל,"Zrubbabel (zer-oob-baw-bel') n/p.
1. descended of (i.e. from) Babylon, i.e. born there
2. Zerubbabel, an Israelite
[from H2215 and H894]
KJV: Zerubbabel. 
Root(s): H2215, H894 ",H,noun proper,,21,1CH 3:19,זרב,,2215,זרב,894,בבל,,
2217,זְרוּבָּבֶל,"Zrubbabel (zer-oob-baw-bel') n/p.
1. Zerubbabel
[(Aramaic) corresponding to H2216]
 Root(s): H2216 ",A,noun proper,,1,EZR 5:2,,,2216,זרובבל,,,,
2218,זֶרֶד,"Zered (zeh'-red) n/l.
1. lined with shrubbery
2. Zered, a brook East of the Dead Sea
[from an unused root meaning to be exuberant in growth]
KJV: Zared, Zered. ",H,noun location,,4,NUM 21:12,,,,,,,,
